timestamp_local,arrivals,hour_of_week,baseline,road_threat,customers_out,power_threat,road_next,power_next,next_time,date,intercept
2018-03-06 09:00:00,2.0,33,1.0,0.0,3,0.18198894821411368,0.0,0.40578363495428216,2018-03-06 10:00:00,2018-03-06,1.0
2018-03-06 10:00:00,8.0,34,2.0,0.0,21,0.40578363495428216,0.0,0.4667364106731651,2018-03-06 11:00:00,2018-03-06,1.0
2018-03-06 11:00:00,8.0,35,2.0,0.0,34,0.4667364106731651,0.0,0.39327157412278957,2018-03-06 12:00:00,2018-03-06,1.0
2018-03-06 12:00:00,2.0,36,2.0,0.0,19,0.39327157412278957,1.0,0.39327157412278957,2018-03-06 13:00:00,2018-03-06,1.0
2018-03-06 13:00:00,0.0,37,1.0,1.0,19,0.39327157412278957,0.0,0.14422282923252733,2018-03-06 14:00:00,2018-03-06,1.0
2018-03-07 08:00:00,4.0,56,1.0,0.0,3,0.18198894821411368,0.0,0.18198894821411368,2018-03-07 09:00:00,2018-03-07,1.0
2018-03-07 11:00:00,2.0,59,2.0,0.0,4,0.21128262590867591,0.0,0.18198894821411368,2018-03-07 12:00:00,2018-03-07,1.0
2018-03-07 12:00:00,4.0,60,4.0,0.0,3,0.18198894821411368,1.0,0.18198894821411368,2018-03-07 13:00:00,2018-03-07,1.0
2018-03-07 13:00:00,0.0,61,3.0,1.0,3,0.18198894821411368,0.0,0.18198894821411368,2018-03-07 14:00:00,2018-03-07,1.0
2018-03-07 14:00:00,2.0,62,1.0,0.0,3,0.18198894821411368,0.0,0.18198894821411368,2018-03-07 15:00:00,2018-03-07,1.0
2018-03-08 10:00:00,0.0,82,4.0,1.0,2,0.14422282923252733,0.0,0.09099447410705684,2018-03-08 11:00:00,2018-03-08,1.0
2018-03-08 13:00:00,4.0,85,2.0,0.0,2,0.14422282923252733,1.0,0.09099447410705684,2018-03-08 14:00:00,2018-03-08,1.0
2018-03-08 16:00:00,4.0,88,3.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-08 17:00:00,2018-03-08,1.0
2018-03-09 08:00:00,0.0,104,2.0,1.0,330,0.7616862984969862,0.0,0.7616862984969862,2018-03-09 09:00:00,2018-03-09,1.0
2018-03-09 09:00:00,6.0,105,1.0,0.0,330,0.7616862984969862,1.0,0.09099447410705684,2018-03-09 10:00:00,2018-03-09,1.0
2018-03-09 10:00:00,0.0,106,2.0,1.0,1,0.09099447410705684,1.0,0.14422282923252733,2018-03-09 11:00:00,2018-03-09,1.0
2018-03-11 09:00:00,2.0,153,1.0,0.0,1,0.09099447410705684,1.0,0.09099447410705684,2018-03-11 10:00:00,2018-03-11,1.0
2018-03-11 10:00:00,0.0,154,1.0,1.0,1,0.09099447410705684,0.0,0.4704346066791683,2018-03-11 11:00:00,2018-03-11,1.0
2018-03-11 13:00:00,0.0,157,1.0,1.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-11 14:00:00,2018-03-11,1.0
2018-03-11 14:00:00,4.0,158,2.0,0.0,1,0.09099447410705684,0.0,0.09099447410705684,2018-03-11 15:00:00,2018-03-11,1.0
2018-03-13 10:00:00,0.0,34,2.0,1.0,2,0.14422282923252733,1.0,0.09099447410705684,2018-03-13 11:00:00,2018-03-13,1.0
