scenario_id,policy,hour,retained_fraction,original_loss_mwh,original_vmin_pu,mapping_index,accepted_ev_load_kw,loss_mwh_tol8,vmin_pu_tol8,vmax_pu_tol8,max_line_pu_tol8,feasible_tol8,iterations_tol8,loss_mwh_tol10,vmin_pu_tol10,vmax_pu_tol10,max_line_pu_tol10,feasible_tol10,iterations_tol10
0,forecast_matched,0,1.0,0.14024178772827398,0.9889876056906094,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35911035537719727,0.0,0.6723905503749847,0.364723265171051,0.0,0.0,0.3462246358394623,0.0,0.0,0.0,2.2229843139648438,1.088915228843689,0.0,0.0,0.0,0.46931663155555725,0.0,0.0]",0.1402405388217855,0.9889881828469578,1.0299995274510358,0.9132929228221968,True,5,0.14024053883472223,0.9889881829042119,1.029999527451036,0.9132929194945343,True,6
0,forecast_matched,1,1.0,0.1404547407510261,0.9889506584091262,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14861443638801575,0.0,1.9860171675682068,1.5239444971084595,0.0,0.0,1.6282508373260498,0.0,0.0,0.0,2.3847925662994385,1.2426341772079468,0.0,0.0,0.0,0.7435523867607117,0.0,0.0]",0.14045548628935647,0.9889505145144722,1.0299995271037068,0.9137661200585246,True,5,0.14045550468389273,0.9889505144862053,1.0299995271037068,0.913766113877239,True,6
0,forecast_matched,2,1.0,0.1404059544483009,0.9889379052930531,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22926505096256733,3.1437069177627563,0.10989827662706375,0.0,1.1570638418197632,0.0,0.0,0.0,2.5016303062438965,2.118335723876953,0.0,0.0,0.0,0.0,0.0,0.0]",0.14040572308149976,0.9889379246738526,1.0299995271455398,0.9139774132979244,True,4,0.14040571937175728,0.9889379248100182,1.029999527145541,0.913977410444319,True,6
0,forecast_matched,3,1.0,0.14040350058214598,0.9887732920530726,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9605573415756226,0.3113712966442108,0.0,0.0,0.0,0.0,0.0,3.7869144678115845,2.963604688644409,0.0,0.0,0.0,0.0,0.0,0.0]",0.14040354013354986,0.9887731216526486,1.0299995271638769,0.9139772093097263,True,4,0.14040354039613628,0.9887731214634412,1.0299995271638767,0.9139772059820604,True,6
0,forecast_matched,4,1.0,0.1405305835783461,0.9886710714726216,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5882742404937744,1.8530088663101196,0.0,0.0,0.0,0.0,0.0,4.519019603729248,2.963805675506592,0.0,0.0,0.0,0.0,0.0,0.0]",0.14053103596197644,0.9886709006295739,1.0299995270005016,0.9142982200605093,True,4,0.14053105494784118,0.9886709002159196,1.0299995270004987,0.9142982210085641,True,6
0,forecast_matched,5,1.0,0.14060657404579188,0.9885856847845251,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0894575119018555,1.7087658643722534,0.0,0.0,0.0,0.0,0.0,5.130340933799744,3.5850207805633545,0.0,0.0,0.0,0.0,0.0,0.0]",0.1406068372989434,0.9885855577079672,1.0299995268689892,0.914560257985321,True,4,0.14060684229214196,0.9885855574456291,1.0299995268689877,0.9145602641666494,True,6
0,pc_rollout,0,1.0,0.14023944636392685,0.9889886396205133,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35911035537719727,0.0,0.6723905503749847,0.364723265171051,0.0,0.0,0.3462246358394623,0.0,0.0,0.0,2.2229843139648438,1.088915228843689,0.0,0.0,0.0,0.46931663155555725,0.0,0.0]",0.14024053195596559,0.9889881829576211,1.0299995274510363,0.9132929228221968,True,5,0.14024053841217998,0.9889881829099608,1.0299995274510358,0.9132929228221968,True,6
0,pc_rollout,1,1.0,0.14045474100836064,0.9889506605795817,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14861443638801575,0.0,1.9860171675682068,1.5239444971084595,0.0,0.0,1.6282508373260498,0.0,0.0,0.0,2.3847925662994385,1.2426341772079468,0.0,0.0,0.0,0.7435523867607117,0.0,0.0]",0.14045550893309897,0.9889505145144739,1.0299995271037068,0.913766113877239,True,5,0.14045550468389273,0.9889505144862053,1.0299995271037068,0.913766113877239,True,6
0,pc_rollout,2,1.0,0.1404059464877514,0.988937905298787,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22926505096256733,3.1437069177627563,0.10989827662706375,0.0,1.1570638418197632,0.0,0.0,0.0,2.5016303062438965,2.118335723876953,0.0,0.0,0.0,0.0,0.0,0.0]",0.14040572308149976,0.9889379246738526,1.0299995271455398,0.9139774132979244,True,4,0.14040571937175728,0.9889379248100182,1.029999527145541,0.913977410444319,True,6
0,pc_rollout,3,1.0,0.14040350058561216,0.9887732920530882,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9605573415756226,0.3113712966442108,0.0,0.0,0.0,0.0,0.0,3.7869144678115845,2.963604688644409,0.0,0.0,0.0,0.0,0.0,0.0]",0.14040354013354986,0.9887731216526486,1.0299995271638769,0.9139772093097263,True,4,0.14040354039613628,0.9887731214634412,1.0299995271638767,0.9139772059820604,True,6
