closure_fraction,demand_multiplier,distance_beta_per_km,method,metric,mean,sd,ci95_low,ci95_high,n
0.1,1.0,0.5,coordinated,served_fraction,1.0,0.0,1.0,1.0,24
0.1,1.0,0.5,coordinated,rerouted_fraction,0.32617782582517596,0.16281833763596698,0.26103692398904543,0.3913187276613065,24
0.1,1.0,0.5,coordinated,energy_weighted_extra_distance_km,0.32309248320682954,0.2935141642402784,0.20566236054436685,0.44052260586929226,24
0.1,1.0,0.5,coordinated,max_capacity_utilization,0.9191710644901011,0.21044243710517313,0.8349765546046499,1.0033655743755523,24
0.1,1.0,0.5,logit,served_fraction,1.0,9.259900138095512e-17,1.0,1.0,24
0.1,1.0,0.5,logit,rerouted_fraction,0.6486891339755264,0.12165463525437571,0.6000171430433148,0.697361124907738,24
0.1,1.0,0.5,logit,energy_weighted_extra_distance_km,1.3750408715462434,0.41048177319869167,1.2108139590148013,1.5392677840776856,24
0.1,1.0,0.5,logit,max_capacity_utilization,0.7900180368843358,0.3001641607661435,0.6699273615028636,0.910108712265808,24
0.1,1.0,0.5,nearest,served_fraction,1.0,0.0,1.0,1.0,24
0.1,1.0,0.5,nearest,rerouted_fraction,0.5706799345379115,0.17388910495849666,0.501109803304906,0.6402500657709171,24
0.1,1.0,0.5,nearest,energy_weighted_extra_distance_km,0.3353251341464369,0.30560490524411565,0.21305770762562143,0.45759256066725235,24
0.1,1.0,0.5,nearest,max_capacity_utilization,0.9384080119811428,0.19720045900093086,0.85951139672064,1.0173046272416455,24
0.1,1.0,0.5,no_choice,served_fraction,0.6738221741748239,0.16281833763596698,0.6086812723386934,0.7389630760109545,24
0.1,1.0,0.5,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.1,1.0,0.5,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.1,1.0,0.5,no_choice,max_capacity_utilization,0.9142817702623126,0.22885525351049799,0.8227205995731646,1.0058429409514607,24
0.1,1.0,1.0,coordinated,served_fraction,1.0,0.0,1.0,1.0,24
0.1,1.0,1.0,coordinated,rerouted_fraction,0.32617782582517596,0.16281833763596698,0.26103692398904543,0.3913187276613065,24
0.1,1.0,1.0,coordinated,energy_weighted_extra_distance_km,0.32309248320682954,0.2935141642402784,0.20566236054436685,0.44052260586929226,24
0.1,1.0,1.0,coordinated,max_capacity_utilization,0.9191710644901011,0.21044243710517313,0.8349765546046499,1.0033655743755523,24
0.1,1.0,1.0,logit,served_fraction,1.0,2.314975034523878e-17,1.0,1.0,24
0.1,1.0,1.0,logit,rerouted_fraction,0.5456507441120951,0.13597580662547507,0.491249091324786,0.6000523968994043,24
0.1,1.0,1.0,logit,energy_weighted_extra_distance_km,0.7180961206406523,0.30659709644078803,0.5954317349671792,0.8407605063141255,24
0.1,1.0,1.0,logit,max_capacity_utilization,0.8437209540751497,0.25709685150337247,0.740860790967454,0.9465811171828453,24
0.1,1.0,1.0,nearest,served_fraction,1.0,0.0,1.0,1.0,24
0.1,1.0,1.0,nearest,rerouted_fraction,0.5706799345379115,0.17388910495849666,0.501109803304906,0.6402500657709171,24
0.1,1.0,1.0,nearest,energy_weighted_extra_distance_km,0.3353251341464369,0.30560490524411565,0.21305770762562143,0.45759256066725235,24
0.1,1.0,1.0,nearest,max_capacity_utilization,0.9384080119811428,0.19720045900093086,0.85951139672064,1.0173046272416455,24
0.1,1.0,1.0,no_choice,served_fraction,0.6738221741748239,0.16281833763596698,0.6086812723386934,0.7389630760109545,24
0.1,1.0,1.0,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.1,1.0,1.0,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.1,1.0,1.0,no_choice,max_capacity_utilization,0.9142817702623126,0.22885525351049799,0.8227205995731646,1.0058429409514607,24
0.1,1.0,2.0,coordinated,served_fraction,1.0,0.0,1.0,1.0,24
0.1,1.0,2.0,coordinated,rerouted_fraction,0.32617782582517596,0.16281833763596698,0.26103692398904543,0.3913187276613065,24
0.1,1.0,2.0,coordinated,energy_weighted_extra_distance_km,0.32309248320682954,0.2935141642402784,0.20566236054436685,0.44052260586929226,24
0.1,1.0,2.0,coordinated,max_capacity_utilization,0.9191710644901011,0.21044243710517313,0.8349765546046499,1.0033655743755523,24
0.1,1.0,2.0,logit,served_fraction,0.999999999999579,1.39866907761002e-12,0.9999999999990195,1.0000000000001386,24
0.1,1.0,2.0,logit,rerouted_fraction,0.4774745658159818,0.1362027597009606,0.42298211288769183,0.5319670187442718,24
0.1,1.0,2.0,logit,energy_weighted_extra_distance_km,0.4627628163431187,0.32153956045043575,0.3341201999901342,0.5914054326961032,24
0.1,1.0,2.0,logit,max_capacity_utilization,0.8715113364253737,0.24519651081192573,0.7734123011860343,0.9696103716647131,24
0.1,1.0,2.0,nearest,served_fraction,1.0,0.0,1.0,1.0,24
0.1,1.0,2.0,nearest,rerouted_fraction,0.5706799345379115,0.17388910495849666,0.501109803304906,0.6402500657709171,24
0.1,1.0,2.0,nearest,energy_weighted_extra_distance_km,0.3353251341464369,0.30560490524411565,0.21305770762562143,0.45759256066725235,24
0.1,1.0,2.0,nearest,max_capacity_utilization,0.9384080119811428,0.19720045900093086,0.85951139672064,1.0173046272416455,24
0.1,1.0,2.0,no_choice,served_fraction,0.6738221741748239,0.16281833763596698,0.6086812723386934,0.7389630760109545,24
0.1,1.0,2.0,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.1,1.0,2.0,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.1,1.0,2.0,no_choice,max_capacity_utilization,0.9142817702623126,0.22885525351049799,0.8227205995731646,1.0058429409514607,24
0.1,2.0,0.5,coordinated,served_fraction,1.0,0.0,1.0,1.0,24
0.1,2.0,0.5,coordinated,rerouted_fraction,0.5332297731990385,0.1801983729389272,0.4611354090562856,0.6053241373417915,24
0.1,2.0,0.5,coordinated,energy_weighted_extra_distance_km,0.7225005737654092,0.5152075420966725,0.5163746274362551,0.9286265200945634,24
0.1,2.0,0.5,coordinated,max_capacity_utilization,0.9691391904903265,0.1304097364904175,0.9169644295479118,1.0213139514327412,24
0.1,2.0,0.5,logit,served_fraction,1.0,4.629950069047756e-17,1.0,1.0,24
0.1,2.0,0.5,logit,rerouted_fraction,0.7154974734630756,0.11631821042544237,0.6689604971181928,0.7620344498079583,24
0.1,2.0,0.5,logit,energy_weighted_extra_distance_km,1.633589624737236,0.5638619024964326,1.4079978801404032,1.8591813693340686,24
0.1,2.0,0.5,logit,max_capacity_utilization,0.9180154395071627,0.2169731789449695,0.8312080887139849,1.0048227903003404,24
0.1,2.0,0.5,nearest,served_fraction,1.0,0.0,1.0,1.0,24
