hour_index,timestamp_local,closure_fraction,closed_stations,demand_multiplier,distance_beta_per_km,loyalty_penalty,method,requested_kwh,served_kwh,unserved_kwh,served_fraction,rerouted_kwh,rerouted_fraction,energy_weighted_extra_distance_km,max_capacity_utilization,stations_at_capacity
44103,2023-01-13T08:00,0.1,5,1.0,0.5,2.0,no_choice,79.95436143875122,68.02090377807617,11.93345766067505,0.8507466328798506,0.0,0.0,0.0,1.0,1
44103,2023-01-13T08:00,0.1,5,1.0,0.5,2.0,nearest,79.95436143875122,79.95436143875122,0.0,1.0,16.584603481292582,0.20742587624812892,0.14446074722923188,1.0,2
44103,2023-01-13T08:00,0.1,5,1.0,0.5,2.0,logit,79.95436143875122,79.9543614387512,7.105427357601002e-15,0.9999999999999998,48.435286255923344,0.6057866685987736,1.2608731260331625,0.5379615703630907,0
44103,2023-01-13T08:00,0.1,5,1.0,0.5,2.0,coordinated,79.95436143875122,79.95436143875122,0.0,1.0,11.93345766067505,0.14925336712014936,0.14446074722923188,1.0,1
44103,2023-01-13T08:00,0.1,5,1.0,1.0,2.0,no_choice,79.95436143875122,68.02090377807617,11.93345766067505,0.8507466328798506,0.0,0.0,0.0,1.0,1
44103,2023-01-13T08:00,0.1,5,1.0,1.0,2.0,nearest,79.95436143875122,79.95436143875122,0.0,1.0,16.584603481292582,0.20742587624812892,0.14446074722923188,1.0,2
44103,2023-01-13T08:00,0.1,5,1.0,1.0,2.0,logit,79.95436143875122,79.95436143875122,3.552713678800501e-15,1.0,34.53569528528588,0.4319426065548887,0.6482973169495359,0.7527345708024821,0
44103,2023-01-13T08:00,0.1,5,1.0,1.0,2.0,coordinated,79.95436143875122,79.95436143875122,0.0,1.0,11.93345766067505,0.14925336712014936,0.14446074722923188,1.0,1
44103,2023-01-13T08:00,0.1,5,1.0,2.0,2.0,no_choice,79.95436143875122,68.02090377807617,11.93345766067505,0.8507466328798506,0.0,0.0,0.0,1.0,1
44103,2023-01-13T08:00,0.1,5,1.0,2.0,2.0,nearest,79.95436143875122,79.95436143875122,0.0,1.0,16.584603481292582,0.20742587624812892,0.14446074722923188,1.0,2
44103,2023-01-13T08:00,0.1,5,1.0,2.0,2.0,logit,79.95436143875122,79.95436143875122,6.661338147750939e-15,1.0,22.811997302163547,0.2853127320595088,0.29056608645037163,0.9489650470676558,0
44103,2023-01-13T08:00,0.1,5,1.0,2.0,2.0,coordinated,79.95436143875122,79.95436143875122,0.0,1.0,11.93345766067505,0.14925336712014936,0.14446074722923188,1.0,1
44103,2023-01-13T08:00,0.1,5,2.0,0.5,2.0,no_choice,159.90872287750244,97.32133478546127,62.58738809204117,0.608605540924831,0.0,0.0,0.0,1.0,4
44103,2023-01-13T08:00,0.1,5,2.0,0.5,2.0,nearest,159.90872287750244,159.90872287750244,0.0,1.0,77.0643150482179,0.4819268996804682,0.5034770987731302,1.0,9
44103,2023-01-13T08:00,0.1,5,2.0,0.5,2.0,logit,159.90872287750244,159.90872287750244,9.769962616701378e-15,1.0,98.3046859401264,0.6147549937937556,1.2788080290104076,1.0,2
44103,2023-01-13T08:00,0.1,5,2.0,0.5,2.0,coordinated,159.90872287750244,159.90872287750244,0.0,1.0,62.58738809204117,0.39139445907516895,0.5034770987731302,1.0000000000000002,9
44103,2023-01-13T08:00,0.1,5,2.0,1.0,2.0,no_choice,159.90872287750244,97.32133478546127,62.58738809204117,0.608605540924831,0.0,0.0,0.0,1.0,4
44103,2023-01-13T08:00,0.1,5,2.0,1.0,2.0,nearest,159.90872287750244,159.90872287750244,0.0,1.0,77.0643150482179,0.4819268996804682,0.5034770987731302,1.0,9
44103,2023-01-13T08:00,0.1,5,2.0,1.0,2.0,logit,159.90872287750244,159.90872287750244,9.769962616701378e-15,1.0,85.40330886249873,0.5340753607789217,0.8706250863226551,1.0000000000000004,3
44103,2023-01-13T08:00,0.1,5,2.0,1.0,2.0,coordinated,159.90872287750244,159.90872287750244,0.0,1.0,62.58738809204117,0.39139445907516895,0.5034770987731302,1.0000000000000002,9
44103,2023-01-13T08:00,0.1,5,2.0,2.0,2.0,no_choice,159.90872287750244,97.32133478546127,62.58738809204117,0.608605540924831,0.0,0.0,0.0,1.0,4
44103,2023-01-13T08:00,0.1,5,2.0,2.0,2.0,nearest,159.90872287750244,159.90872287750244,0.0,1.0,77.0643150482179,0.4819268996804682,0.5034770987731302,1.0,9
44103,2023-01-13T08:00,0.1,5,2.0,2.0,2.0,logit,159.90872287750244,159.90872287750244,1.509903313490213e-14,1.0,77.91180188347269,0.4872267158506217,0.6879647213792245,1.0000000000000002,5
44103,2023-01-13T08:00,0.1,5,2.0,2.0,2.0,coordinated,159.90872287750244,159.90872287750244,0.0,1.0,62.58738809204117,0.39139445907516895,0.5034770987731302,1.0000000000000002,9
44103,2023-01-13T08:00,0.1,5,4.0,0.5,2.0,no_choice,319.8174457550049,109.04933962249726,210.76810613250763,0.34097370568719426,0.0,0.0,0.0,1.0,6
44103,2023-01-13T08:00,0.1,5,4.0,0.5,2.0,nearest,319.8174457550049,319.8174457550049,0.0,1.0,236.6746690902713,0.7400305150069116,1.0389019597179836,1.0,25
44103,2023-01-13T08:00,0.1,5,4.0,0.5,2.0,logit,319.8174457550049,319.8174457550049,1.0658141036401503e-14,1.0,239.20517540181663,0.7479428610816278,1.6377552160037534,1.0000000000000004,6
44103,2023-01-13T08:00,0.1,5,4.0,0.5,2.0,coordinated,319.8174457550049,319.8174457550049,7.105427357601002e-15,1.0,210.76810613250757,0.6590262943128056,1.0386229298712355,1.0000000000000007,26
44103,2023-01-13T08:00,0.1,5,4.0,1.0,2.0,no_choice,319.8174457550049,109.04933962249726,210.76810613250763,0.34097370568719426,0.0,0.0,0.0,1.0,6
44103,2023-01-13T08:00,0.1,5,4.0,1.0,2.0,nearest,319.8174457550049,319.8174457550049,0.0,1.0,236.6746690902713,0.7400305150069116,1.0389019597179836,1.0,25
