method,mae_demand,rmse_demand,mape_demand,mae_energy,rmse_energy,mape_energy
Historical mean,0.13678845763206482,0.5167142152786255,0.0839548408985138,1.1009256839752197,3.0262982845306396,0.3438614308834076
Weekly seasonal,0.15570706129074097,0.6373935341835022,0.1127769872546196,1.1303869485855103,3.298952102661133,0.5462903380393982
Persistence,0.17538897693157196,0.6780857443809509,0.1282077133655548,1.0590986013412476,3.1857547760009766,0.5113376975059509
STGNN rollout predictor,0.10955570638179779,0.527442216873169,0.05512191355228424,0.945228099822998,3.112769842147827,0.15086179971694946
