traffic_multiplier,power_threat,backup_duration_s,metric,mean,sd,ci95_low,ci95_high,n
0.5,0.4717503709822307,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4717503709822307,300.0,control_latency_p95_ms,126.39608543301755,38.390178482635406,115.75487086289246,137.03730000314263,50
0.5,0.4717503709822307,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4717503709822307,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.4994479106030631,0.0,control_on_time_fraction,0.9762475893493534,0.1390744636549568,0.937698114783955,1.0147970639147519,50
0.5,0.4994479106030631,0.0,control_delivery_fraction,0.9939344262295083,0.042890083449020094,0.9820459016393444,1.0058229508196723,50
0.5,0.4994479106030631,0.0,control_latency_p95_ms,373.7939762538294,1000.8244077304549,96.3796038644092,651.2083486432496,50
0.5,0.4994479106030631,0.0,attempt_drop_fraction,0.012140845070422535,0.0858487387863104,-0.011655211267605626,0.0359369014084507,50
0.5,0.4994479106030631,0.0,algebraic_support,0.993456000620759,0.04627306337141826,0.9806297618374468,1.0062822394040714,50
0.5,0.4994479106030631,60.0,control_on_time_fraction,0.9820260576782315,0.11575223881598408,0.9499411740205431,1.01411094133592,50
0.5,0.4994479106030631,60.0,control_delivery_fraction,0.9980165289256198,0.01402525846981582,0.9941289256198347,1.0019041322314048,50
0.5,0.4994479106030631,60.0,control_latency_p95_ms,329.13799141519746,936.4784558054889,69.55940693341171,588.7165758969832,50
0.5,0.4994479106030631,60.0,attempt_drop_fraction,0.008092056421677802,0.05721947969512522,-0.007768374164810686,0.02395248700816629,50
0.5,0.4994479106030631,60.0,algebraic_support,0.9974856737700435,0.01777897127317497,0.9925575943593287,1.0024137531807584,50
0.5,0.4994479106030631,300.0,control_on_time_fraction,0.9920538922155688,0.049479742698142974,0.9783388072710256,1.005768977160112,50
0.5,0.4994479106030631,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.4994479106030631,300.0,control_latency_p95_ms,158.9617441426669,124.83606258590821,124.35895299734631,193.5645352879875,50
0.5,0.4994479106030631,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.4994479106030631,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,0.0,control_on_time_fraction,0.9914073431441852,0.02201272538122464,0.9853057269675164,0.997508959320854,50
0.5,0.5688634704442851,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,0.0,control_latency_p95_ms,322.08392543925015,94.87980570351202,295.7845850670889,348.3832658114114,50
0.5,0.5688634704442851,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.5688634704442851,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,60.0,control_on_time_fraction,0.9914345422873978,0.01797289323614431,0.9864527104509486,0.996416374123847,50
0.5,0.5688634704442851,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,60.0,control_latency_p95_ms,250.37295867711225,88.21870575648514,225.919981010491,274.8259363437335,50
0.5,0.5688634704442851,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.5688634704442851,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,300.0,control_on_time_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5688634704442851,300.0,control_latency_p95_ms,147.73169394121155,49.29208448020591,134.06862520086023,161.39476268156287,50
0.5,0.5688634704442851,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.5688634704442851,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,0.0,control_on_time_fraction,0.9862671164739676,0.033512555890948884,0.9769779099080174,0.9955563230399178,50
0.5,0.5929419665133093,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,0.0,control_latency_p95_ms,313.5724571892265,110.80860417960383,282.85787914097466,344.28703523747834,50
0.5,0.5929419665133093,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.5929419665133093,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,60.0,control_on_time_fraction,0.9956995592065718,0.013178474371253815,0.992046672477878,0.9993524459352656,50
0.5,0.5929419665133093,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.5929419665133093,60.0,control_latency_p95_ms,239.39270204412037,76.63008785250673,218.15192537685644,260.6334787113843,50
