hour_index,timestamp_local,station_index,station_id,traffic_multiplier,power_threat,communication_threat,arrival_rate_pps,backup_duration_s,nominal_service_rate_pps,degraded_service_rate_pps,effective_service_rate_pps,utilization,erasure_probability,algebraic_support,effective_action_fraction,generated_packets,arrival_attempts_including_retries,delivered_packets,buffer_drops,erasures,control_generated,control_delivered,control_failed,control_delivery_fraction,control_on_time_fraction,control_latency_mean_ms,control_latency_p95_ms,control_latency_p99_ms,attempt_drop_fraction
1282,2018-02-24T03:00,20,B020,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,462,464,462,0,2,25,25,0,1.0,1.0,48.08384624613474,95.64319863101787,125.09819528556982,0.0
1282,2018-02-24T03:00,21,B021,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,490,490,490,0,0,30,30,0,1.0,1.0,37.79508472800751,108.88125586027823,137.9444328651281,0.0
1282,2018-02-24T03:00,22,B022,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,486,486,486,0,0,21,21,0,1.0,1.0,31.920131768670146,76.51498795931388,99.5188702334133,0.0
1282,2018-02-24T03:00,23,B023,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,475,476,475,0,1,23,23,0,1.0,1.0,42.62454159498467,91.23716923788123,236.05628171870896,0.0
1282,2018-02-24T03:00,24,B024,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,475,475,475,0,0,30,30,0,1.0,1.0,43.58641321280079,132.66341223665276,146.2142068922337,0.0
1282,2018-02-24T03:00,25,B025,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,493,493,493,0,0,19,19,0,1.0,1.0,41.58360600918172,95.99277032819757,142.95897456655157,0.0
1282,2018-02-24T03:00,26,B026,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,418,419,418,0,1,19,19,0,1.0,1.0,40.383156912197244,85.03328725878275,90.6299199903944,0.0
1282,2018-02-24T03:00,27,B027,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,508,510,508,0,2,19,19,0,1.0,1.0,34.5443759086954,98.24176490232604,140.93492188349614,0.0
1282,2018-02-24T03:00,28,B028,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,487,488,487,0,1,16,16,0,1.0,1.0,54.348291922333395,163.78219953158947,277.6916972009762,0.0
1282,2018-02-24T03:00,29,B029,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,484,486,484,0,2,22,22,0,1.0,1.0,40.58334726255364,93.38016501183883,112.34439486896432,0.0
1282,2018-02-24T03:00,30,B030,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,480,482,480,0,2,27,27,0,1.0,1.0,40.114915461274805,120.90686347202322,137.51279194506208,0.0
1282,2018-02-24T03:00,31,B031,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,497,497,497,0,0,28,28,0,1.0,1.0,36.31481719604625,87.12574710516563,96.6932611635633,0.0
1282,2018-02-24T03:00,32,B032,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,522,522,522,0,0,25,25,0,1.0,1.0,31.23747995707828,66.73126542603282,109.38536865245344,0.0
1282,2018-02-24T03:00,33,B033,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,488,488,488,0,0,30,30,0,1.0,1.0,42.62100202191459,97.29579320488205,166.28241911411328,0.0
1282,2018-02-24T03:00,34,B034,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,481,483,481,0,2,20,20,0,1.0,1.0,31.95717169782971,67.18749560753992,70.84781328231001,0.0
1282,2018-02-24T03:00,35,B035,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,464,464,464,0,0,21,21,0,1.0,1.0,45.918776160770214,102.77408428756019,155.8294634586846,0.0
1282,2018-02-24T03:00,36,B036,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,482,484,482,0,2,27,27,0,1.0,1.0,33.19661993644977,96.04585660837444,102.16024965093197,0.0
1282,2018-02-24T03:00,37,B037,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,490,491,490,0,1,18,18,0,1.0,1.0,24.10366220505981,67.09364356470353,98.51563636382245,0.0
1282,2018-02-24T03:00,38,B038,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,462,462,462,0,0,21,21,0,1.0,1.0,56.85193140228151,140.64808078987312,151.66481526569842,0.0
1282,2018-02-24T03:00,39,B039,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,483,485,483,0,2,28,28,0,1.0,1.0,48.82086549625123,107.55341815022639,112.46813020208609,0.0
1282,2018-02-24T03:00,40,B040,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,484,485,484,0,1,21,21,0,1.0,1.0,25.50688279830137,79.65150506439045,105.5335619910693,0.0
1282,2018-02-24T03:00,41,B041,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,469,469,469,0,0,22,22,0,1.0,1.0,35.480437947639906,119.91625115462445,126.94052594212721,0.0
