mode,seed,epoch,train_loss,val_score,val_mae_demand,val_mae_energy,physics_loss,smooth_loss
plain,0,1,0.15123974499258683,0.2895863801240921,0.08890838921070099,0.8027119636535645,0.0,0.0
plain,0,2,0.14973309298936469,0.28959495574235916,0.0891771987080574,0.801671028137207,0.0,0.0
plain,0,3,0.14957635779015338,0.28972653299570084,0.08930587023496628,0.8016826510429382,0.0,0.0
plain,0,4,0.14948448288614732,0.2901521697640419,0.08960171788930893,0.8022018074989319,0.0,0.0
plain,0,5,0.14944154078507946,0.2898469343781471,0.08953394740819931,0.8012519478797913,0.0,0.0
plain,0,6,0.14940388076496822,0.2888515517115593,0.08910935372114182,0.7989687919616699,0.0,0.0
plain,0,7,0.14936187928610475,0.28877660632133484,0.0890997052192688,0.7987076044082642,0.0,0.0
plain,0,8,0.14936077420728922,0.2904563173651695,0.089871846139431,0.8023378849029541,0.0,0.0
plain,0,9,0.14934128174816605,0.29049476981163025,0.0898611843585968,0.8025343418121338,0.0,0.0
plain,0,10,0.14928562324630082,0.28909480571746826,0.08934634923934937,0.7989938259124756,0.0,0.0
plain,0,11,0.14926868350836484,0.2891722247004509,0.08933957666158676,0.7993305921554565,0.0,0.0
plain,0,12,0.14924178848954012,0.2891479432582855,0.08938246965408325,0.7990618944168091,0.0,0.0
plain,0,13,0.14919570882390015,0.28870607167482376,0.08911450952291489,0.7983662486076355,0.0,0.0
plain,0,14,0.1491347948347565,0.28898031264543533,0.08936094492673874,0.7984774708747864,0.0,0.0
plain,0,15,0.14909636898197398,0.2902471646666527,0.08987876027822495,0.8014736175537109,0.0,0.0
plain,0,16,0.14906142934830519,0.2909718528389931,0.09014085680246353,0.8033239841461182,0.0,0.0
plain,0,17,0.14903854203485226,0.2896331027150154,0.0896211788058281,0.8000476956367493,0.0,0.0
plain,0,18,0.1490294502599396,0.290372796356678,0.09006016701459885,0.8012505173683167,0.0,0.0
plain,0,19,0.14898570142958287,0.28979014605283737,0.0896390900015831,0.8006042242050171,0.0,0.0
plain,0,20,0.14898017010767095,0.2893524318933487,0.08949162065982819,0.799443244934082,0.0,0.0
plain,0,21,0.14895738857070895,0.2891964763402939,0.08935467898845673,0.7993671894073486,0.0,0.0
