method,mae_demand,rmse_demand,mape_demand,mae_energy,rmse_energy,mape_energy
Historical mean,0.13678845763206482,0.5167142152786255,0.0839548408985138,1.1009256839752197,3.0262982845306396,0.3438614308834076
Weekly seasonal,0.15570706129074097,0.6373935341835022,0.1127769872546196,1.1303869485855103,3.298952102661133,0.5462903380393982
Persistence,0.17538897693157196,0.6780857443809509,0.1282077133655548,1.0590986013412476,3.1857547760009766,0.5113376975059509
Graph recurrent forecaster,0.10969610512256622,0.5274395942687988,0.05526169389486313,0.947742760181427,3.118502378463745,0.15178410708904266
