crews,service_scale,policy,metric,mean,sd,ci95_low,ci95_high,n
4,0.5,forecast_matched,integrated_risk_6h,123.10791752218233,35.24524251534674,117.00199077532665,129.21384426903802,128
4,0.5,forecast_matched,integer_unrouted_integrated_risk_6h,104.36731373656463,31.790635665153047,98.85986709258478,109.87476038054447,128
4,0.5,forecast_matched,routing_risk_penalty_6h,18.740603785617708,7.266817965224065,17.48169180170746,19.999515769527957,128
4,0.5,forecast_matched,risk_weighted_completion_h,2.029659755759021,0.4497931215833131,1.9517370729903774,2.1075824385276642,128
4,0.5,forecast_matched,risk_fraction_completed_within_6h,0.9693084780319916,0.039245254735607214,0.962509584522521,0.9761073715414622,128
4,0.5,forecast_matched,total_travel_h,2.5493489583333333,0.22807538875564093,2.5098369131006697,2.588861003565997,128
4,0.5,greedy,integrated_risk_6h,133.84307057556873,38.89800025407499,127.10433583577688,140.58180531536058,128
4,0.5,greedy,integer_unrouted_integrated_risk_6h,113.08436505385168,35.434585366585615,106.94563633154634,119.22309377615703,128
4,0.5,greedy,routing_risk_penalty_6h,20.758705521717033,9.932406876098534,19.03800381909671,22.479407224337358,128
4,0.5,greedy,risk_weighted_completion_h,2.2030950672993104,0.44588413182831166,2.125849582455688,2.280340552142933,128
4,0.5,greedy,risk_fraction_completed_within_6h,0.9666064765934859,0.04000178684657222,0.9596765205824823,0.9735364326044894,128
4,0.5,greedy,total_travel_h,2.505208333333333,0.21393646287795684,2.4681457320405364,2.5422709346261296,128
4,0.5,oracle,integrated_risk_6h,100.47926868763355,27.75956381811163,95.67016961208452,105.28836776318258,128
4,0.5,oracle,integer_unrouted_integrated_risk_6h,85.27045442339393,24.740883440697363,80.98431504229548,89.55659380449238,128
4,0.5,oracle,routing_risk_penalty_6h,15.208814264239606,4.1551426999661105,14.488972517153371,15.928656011325842,128
4,0.5,oracle,risk_weighted_completion_h,1.6499778672409124,0.3265870847708643,1.5933995413800035,1.7065561931018214,128
4,0.5,oracle,risk_fraction_completed_within_6h,0.9762611402141259,0.02603163912410195,0.9717513888193628,0.980770891608889,128
4,0.5,oracle,total_travel_h,2.6626302083333337,0.3037225020316674,2.610012969340877,2.7152474473257904,128
4,0.5,pc_rollout,integrated_risk_6h,121.72850289851257,34.831304539297435,115.69428724737138,127.76271854965377,128
4,0.5,pc_rollout,integer_unrouted_integrated_risk_6h,103.75740389488746,31.44949582054282,98.30905671378453,109.20575107599039,128
4,0.5,pc_rollout,routing_risk_penalty_6h,17.971099003625113,7.626369586631189,16.64989787924238,19.292300128007845,128
4,0.5,pc_rollout,risk_weighted_completion_h,2.005591721318352,0.44299470732333524,1.9288468037317223,2.0823366389049816,128
4,0.5,pc_rollout,risk_fraction_completed_within_6h,0.9684684505824523,0.041188068212245514,0.9613329818099234,0.9756039193549813,128
4,0.5,pc_rollout,total_travel_h,2.553515625,0.25051698377357845,2.5101157717829694,2.596915478217031,128
4,0.5,route_aware_pc,integrated_risk_6h,121.77857375632486,35.09519463983841,115.69864147768644,127.85850603496328,128
4,0.5,route_aware_pc,integer_unrouted_integrated_risk_6h,103.61688346616134,31.258162417461126,98.20168310602112,109.03208382630156,128
4,0.5,route_aware_pc,routing_risk_penalty_6h,18.161690290163524,7.782709499859298,16.81340465764143,19.509975922685616,128
4,0.5,route_aware_pc,risk_weighted_completion_h,2.0070192283772657,0.4478653097458844,1.9294305219702812,2.08460793478425,128
4,0.5,route_aware_pc,risk_fraction_completed_within_6h,0.9690233021952068,0.03873499138958126,0.9623128073004168,0.9757337970899969,128
4,0.5,route_aware_pc,total_travel_h,2.529166666666667,0.23688707344282098,2.4881280749449877,2.570205258388346,128
4,0.5,static,integrated_risk_6h,125.36695500687804,35.19201328372984,119.2702497539276,131.4636602598285,128
4,0.5,static,integer_unrouted_integrated_risk_6h,107.27063005123146,32.18784216081939,101.69437089263045,112.84688920983248,128
4,0.5,static,routing_risk_penalty_6h,18.09632495564657,6.50423809176499,16.969523194667545,19.223126716625593,128
4,0.5,static,risk_weighted_completion_h,2.0679529200837443,0.4536035023388484,1.9893701225276712,2.1465357176398174,128
4,0.5,static,risk_fraction_completed_within_6h,0.9653911973525803,0.042961897537194,0.9579484283276883,0.9728339663774722,128
4,0.5,static,total_travel_h,2.6555989583333335,0.23217068177468442,2.6153774397818155,2.6958204768848515,128
4,1.0,forecast_matched,integrated_risk_6h,168.66199347724842,49.261094738751645,160.12794421332958,177.19604274116725,128
4,1.0,forecast_matched,integer_unrouted_integrated_risk_6h,152.96559892403513,45.818899991385905,145.0278794758829,160.90331837218736,128
4,1.0,forecast_matched,routing_risk_penalty_6h,15.696394553213281,9.119912392984208,14.116450338471221,17.27633876795534,128
4,1.0,forecast_matched,risk_weighted_completion_h,3.2082933011831707,0.8578418205688505,3.059679787898307,3.3569068144680343,128
4,1.0,forecast_matched,risk_fraction_completed_within_6h,0.831379494651026,0.09657627842691999,0.8146485080135544,0.8481104812884976,128
4,1.0,forecast_matched,total_travel_h,2.772135416666666,0.29249963078843977,2.7214624409225245,2.8228083924108076,128
4,1.0,greedy,integrated_risk_6h,180.06669682534613,52.657495999715714,170.94425106242903,189.18914258826322,128
4,1.0,greedy,integer_unrouted_integrated_risk_6h,162.47202452289073,52.803745068219314,153.32424240149376,171.6198066442877,128
4,1.0,greedy,routing_risk_penalty_6h,17.594672302455393,11.663698288705781,15.574039664809234,19.615304940101552,128
4,1.0,greedy,risk_weighted_completion_h,3.467934433755821,0.9199876641512957,3.3085547023531294,3.627314165158513,128
4,1.0,greedy,risk_fraction_completed_within_6h,0.8105710254748806,0.1132115816941569,0.7909581195793063,0.8301839313704549,128
4,1.0,greedy,total_travel_h,2.7463541666666664,0.31240702903988216,2.692232410129178,2.800475923204155,128
4,1.0,oracle,integrated_risk_6h,143.56434473898702,40.26397357445431,136.58896719474393,150.5397222832301,128
4,1.0,oracle,integer_unrouted_integrated_risk_6h,130.23336203835527,38.18527285153885,123.61810102153376,136.84862305517677,128
4,1.0,oracle,routing_risk_penalty_6h,13.330982700631733,3.693738532796111,12.691075147336539,13.970890253926926,128
4,1.0,oracle,risk_weighted_completion_h,2.6663698417647774,0.6290432716425763,2.5573936548204093,2.7753460287091456,128
4,1.0,oracle,risk_fraction_completed_within_6h,0.8789008082727376,0.059674205989493856,0.8685627795220496,0.8892388370234257,128
4,1.0,oracle,total_travel_h,2.8779947916666666,0.3148826219235631,2.8234441605428784,2.932545422790455,128
4,1.0,pc_rollout,integrated_risk_6h,168.31187893053374,48.002921392727025,159.99579707831103,176.62796078275645,128
4,1.0,pc_rollout,integer_unrouted_integrated_risk_6h,152.35725099149155,45.58737636285234,144.45964096563588,160.25486101734722,128
4,1.0,pc_rollout,routing_risk_penalty_6h,15.954627939042204,8.820503177169716,14.426553724578927,17.482702153505482,128
4,1.0,pc_rollout,risk_weighted_completion_h,3.1979843389569638,0.8510678500516271,3.0505443561917303,3.3454243217221973,128
4,1.0,pc_rollout,risk_fraction_completed_within_6h,0.8325920654940059,0.09987599083148306,0.8152894328473125,0.8498946981406993,128
4,1.0,pc_rollout,total_travel_h,2.777604166666667,0.2767328882263034,2.7296626397153383,2.8255456936179955,128
4,1.0,route_aware_pc,integrated_risk_6h,167.57695782768926,47.83156017075259,159.29056279257873,175.8633528627998,128
4,1.0,route_aware_pc,integer_unrouted_integrated_risk_6h,152.27217972225588,45.67556289341353,144.3592921594268,160.18506728508498,128
4,1.0,route_aware_pc,routing_risk_penalty_6h,15.304778105433384,8.133805994798228,13.895668108367866,16.7138881024989,128
4,1.0,route_aware_pc,risk_weighted_completion_h,3.1875659407701034,0.8502403571938245,3.040269313828598,3.3348625677116086,128
4,1.0,route_aware_pc,risk_fraction_completed_within_6h,0.8340258444729722,0.09359231920225142,0.8178118023971247,0.8502398865488198,128
4,1.0,route_aware_pc,total_travel_h,2.779427083333333,0.2905216322208666,2.7290967783582674,2.829757388308399,128
4,1.0,static,integrated_risk_6h,173.92449097938788,50.180989930884465,165.23107800402622,182.61790395474955,128
4,1.0,static,integer_unrouted_integrated_risk_6h,158.56793223641796,48.42681044491986,150.17841535249255,166.95744912034337,128
4,1.0,static,routing_risk_penalty_6h,15.356558742969945,8.249828535160345,13.927348866264595,16.785768619675295,128
4,1.0,static,risk_weighted_completion_h,3.308788041929806,0.8931426295275459,3.154058975502907,3.4635171083567053,128
4,1.0,static,risk_fraction_completed_within_6h,0.8282674482369157,0.09820941714012407,0.8112535347520564,0.8452813617217749,128
4,1.0,static,total_travel_h,2.877083333333333,0.2957411319851476,2.8258487961572247,2.9283178705094417,128
4,2.0,forecast_matched,integrated_risk_6h,231.7614538223877,60.88365461208928,221.21389878767886,242.30900885709653,128
4,2.0,forecast_matched,integer_unrouted_integrated_risk_6h,220.74454468226315,59.33717608838054,210.4649033830674,231.0241859814589,128
4,2.0,forecast_matched,routing_risk_penalty_6h,11.016909140124575,9.415629465522851,9.385734556292862,12.648083723956288,128
4,2.0,forecast_matched,risk_weighted_completion_h,6.126681701587499,1.7004043105504516,5.832101683993979,6.421261719181018,128
