scenario_id,first_hour,timestamp_local,jobs,crews,service_scale,policy,route_source_policy,integrated_risk_6h,continuous_instant_integrated_risk_6h,integer_unrouted_integrated_risk_6h,routing_risk_penalty_6h,risk_weighted_completion_h,jobs_completed_within_6h,risk_fraction_completed_within_6h,max_completion_h,total_travel_h,solver_objective,batch_id,local_scenario_id
0,51755,2023-11-28T04:00,36,4,0.5,static,static,120.50645044254824,0.0,98.3798911275558,22.126559314992434,2.169334655902319,35,0.9892090135450344,6.066666666666666,2.55,511274,0,0
0,51755,2023-11-28T04:00,36,4,0.5,greedy,greedy,127.54095794380945,0.0,101.8682222748276,25.672735668981858,2.298055800633424,35,0.9877915181847514,6.233333333333333,2.4,658814,0,0
0,51755,2023-11-28T04:00,36,4,0.5,forecast_matched,forecast_matched,138.71873427230582,0.0,121.2846657727416,17.43406849956422,2.496360671506676,36,1.0,5.633333333333334,2.1666666666666665,703994,0,0
0,51755,2023-11-28T04:00,36,4,0.5,pc_rollout,pc_rollout,143.343180811276,0.0,108.5695411822196,34.77363962905639,2.579581488997043,36,1.0,5.75,2.216666666666667,705897,0,0
0,51755,2023-11-28T04:00,36,4,0.5,route_aware_pc,pc_rollout,143.343180811276,0.0,108.5695411822196,34.77363962905639,2.579581488997043,36,1.0,5.75,2.216666666666667,705897,0,0
0,51755,2023-11-28T04:00,36,4,0.5,oracle,oracle,98.59057299088052,0.0,80.63929000933268,17.951282981547834,1.7764587715207134,35,0.9877915181847514,6.183333333333334,2.933333333333333,539712,0,0
0,51755,2023-11-28T04:00,36,12,0.5,static,static,57.843843193912434,0.0,52.85561338634557,4.98822980756686,1.040948765828743,36,1.0,2.7666666666666666,3.8,146739,0,0
0,51755,2023-11-28T04:00,36,12,0.5,greedy,greedy,59.07021888504052,0.0,52.13138898425929,6.938829900781229,1.0630184311834907,36,1.0,2.8,3.183333333333333,182103,0,0
0,51755,2023-11-28T04:00,36,12,0.5,forecast_matched,forecast_matched,65.4661145889488,0.0,54.757555564209575,10.708559024739223,1.1781179711126315,36,1.0,2.583333333333333,3.3666666666666667,187450,0,0
0,51755,2023-11-28T04:00,36,12,0.5,pc_rollout,pc_rollout,65.00709655952916,0.0,48.11366314008362,16.893433419445543,1.169857554362387,36,1.0,2.6333333333333333,3.316666666666667,189806,0,0
0,51755,2023-11-28T04:00,36,12,0.5,route_aware_pc,pc_rollout,65.00709655952916,0.0,48.11366314008362,16.893433419445543,1.169857554362387,36,1.0,2.6333333333333333,3.316666666666667,189806,0,0
0,51755,2023-11-28T04:00,36,12,0.5,oracle,oracle,49.67251212238713,0.0,44.01268568880202,5.65982643358511,0.8938987683801382,36,1.0,3.083333333333333,3.433333333333333,147937,0,0
0,51755,2023-11-28T04:00,36,24,0.5,static,static,43.29037392578807,0.0,64.88872048879163,-21.598346563003567,0.7790468064033543,36,1.0,2.083333333333333,5.666666666666667,70653,0,0
0,51755,2023-11-28T04:00,36,24,0.5,greedy,greedy,44.01289069573507,0.0,60.24369237135595,-16.23080167562088,0.7920491053247035,36,1.0,2.3666666666666667,5.683333333333334,86953,0,0
0,51755,2023-11-28T04:00,36,24,0.5,forecast_matched,forecast_matched,47.65367676799377,0.0,77.4520356629318,-29.798358894938037,0.8575681227222721,36,1.0,2.083333333333333,5.983333333333333,80645,0,0
0,51755,2023-11-28T04:00,36,24,0.5,pc_rollout,pc_rollout,46.32044999150629,0.0,75.4146451164417,-29.09419512493541,0.8335755819275323,36,1.0,2.3666666666666667,5.766666666666667,82971,0,0
0,51755,2023-11-28T04:00,36,24,0.5,route_aware_pc,pc_rollout,46.32044999150629,0.0,64.88872048879163,-18.56827049728534,0.8335755819275323,36,1.0,2.3666666666666667,5.766666666666667,82971,0,0
0,51755,2023-11-28T04:00,36,24,0.5,oracle,oracle,40.51513115184864,0.0,54.45438681076034,-13.939255658911703,0.7291039709883067,36,1.0,2.3833333333333333,5.75,74874,0,0
0,51755,2023-11-28T04:00,36,4,1.0,static,static,150.71927715199496,0.0,137.83725679352875,12.882020358466209,3.310257607527637,28,0.7649203418384878,10.233333333333333,2.716666666666667,706565,0,0
0,51755,2023-11-28T04:00,36,4,1.0,greedy,greedy,153.6412665131613,0.0,142.96957546028926,10.671691052872037,3.4011040232951744,30,0.7876677749443901,10.066666666666666,2.1666666666666665,946980,0,0
0,51755,2023-11-28T04:00,36,4,1.0,forecast_matched,forecast_matched,191.46443595483143,0.0,158.3394202705123,33.12501568431915,4.058707306305567,30,0.7876677749443901,10.05,2.4,1063660,0,0
0,51755,2023-11-28T04:00,36,4,1.0,pc_rollout,pc_rollout,187.41114123554053,0.0,145.06323424529913,42.34790699024143,3.783239425607686,29,0.7762355909907813,10.066666666666666,2.65,1069665,0,0
0,51755,2023-11-28T04:00,36,4,1.0,route_aware_pc,greedy,153.6412665131613,0.0,145.06323424529913,8.57803226786217,3.4011040232951744,30,0.7876677749443901,10.066666666666666,2.1666666666666665,946980,0,0
0,51755,2023-11-28T04:00,36,4,1.0,oracle,oracle,138.1868848665838,0.0,122.60889775323872,15.577987113345088,2.72344155514622,28,0.8531982961313973,11.266666666666667,2.85,755152,0,0
0,51755,2023-11-28T04:00,36,12,1.0,static,static,90.59062370071148,0.0,99.5799525079736,-8.989328807262098,1.630254712170231,36,1.0,4.616666666666666,3.6166666666666663,177868,0,0
0,51755,2023-11-28T04:00,36,12,1.0,greedy,greedy,90.4800031481735,0.0,87.1005877409989,3.3794154071745908,1.6282640019877543,36,1.0,4.9,3.2666666666666666,236011,0,0
0,51755,2023-11-28T04:00,36,12,1.0,forecast_matched,forecast_matched,94.28640957046863,0.0,94.6795788248468,-0.3931692543781651,1.696763497331586,36,1.0,5.133333333333334,3.033333333333333,248046,0,0
0,51755,2023-11-28T04:00,36,12,1.0,pc_rollout,pc_rollout,93.16117728649331,0.0,92.74116722382692,0.4200100626663925,1.6765139929314694,36,1.0,5.083333333333333,3.45,252783,0,0
0,51755,2023-11-28T04:00,36,12,1.0,route_aware_pc,pc_rollout,93.16117728649331,0.0,87.1005877409989,6.060589545494409,1.6765139929314694,36,1.0,5.083333333333333,3.45,252783,0,0
0,51755,2023-11-28T04:00,36,12,1.0,oracle,oracle,79.70354861193984,0.0,86.91653560416924,-7.212986992229403,1.4343326096372102,36,1.0,5.683333333333334,3.466666666666667,182858,0,0
