crews,service_scale,policy,n,mean_routing_penalty,bootstrap_ci95_low,bootstrap_ci95_high,fraction_positive
4,0.5,forecast_matched,128,18.740603785617708,17.50669068058644,20.017351221749593,1.0
4,0.5,greedy,128,20.758705521717033,19.04751079871888,22.531445916847353,0.9921875
4,0.5,oracle,128,15.208814264239606,14.49821461191531,15.935496336008594,1.0
4,0.5,pc_rollout,128,17.971099003625113,16.666471814447426,19.285357592030554,0.9921875
4,0.5,route_aware_pc,128,18.161690290163524,16.812232746085858,19.50880516708435,0.9921875
4,0.5,static,128,18.09632495564657,16.981419396169443,19.228701951484258,0.9921875
4,1.0,forecast_matched,128,15.696394553213281,14.139524249314153,17.305111090522278,0.9765625
4,1.0,greedy,128,17.594672302455393,15.620331616697486,19.629407055504497,0.9609375
4,1.0,oracle,128,13.330982700631733,12.700216531206015,13.98059032333956,1.0
4,1.0,pc_rollout,128,15.954627939042204,14.458617647501747,17.49188333961328,0.984375
4,1.0,route_aware_pc,128,15.304778105433384,13.912179425193406,16.755463167046315,0.9921875
4,1.0,static,128,15.356558742969945,13.966480506521162,16.828904368263977,0.984375
4,2.0,forecast_matched,128,11.016909140124575,9.47007299881733,12.729545465290743,0.96875
4,2.0,greedy,128,10.426967379306252,8.696149295356607,12.266376816435622,0.9453125
4,2.0,oracle,128,9.441193826800609,8.87347725779842,10.015819226650828,0.9921875
4,2.0,pc_rollout,128,10.628266668031367,9.300783971980408,12.084675378179652,0.984375
4,2.0,route_aware_pc,128,10.503459815461909,9.144014551070812,11.951350922888896,0.9765625
4,2.0,static,128,9.760641845421588,8.64247171618542,10.904083234708029,0.96875
12,0.5,forecast_matched,128,0.3480647256426646,-1.0159232562058103,1.6354478358602458,0.5859375
12,0.5,greedy,128,4.96341905831748,3.755292272635292,6.161922024421144,0.796875
12,0.5,oracle,128,-0.5593249697115421,-1.6336807331810608,0.39340045036676513,0.5078125
12,0.5,pc_rollout,128,0.46608330419190225,-1.1257680326001018,1.8595805162153423,0.625
12,0.5,route_aware_pc,128,4.036278469113992,2.9370554125794897,5.087697630340896,0.8203125
12,0.5,static,128,0.6445769021087051,-0.8315192808929989,2.0349111331253864,0.625
12,1.0,forecast_matched,128,-6.979012646122785,-9.116004983942727,-4.923591449893433,0.2890625
12,1.0,greedy,128,-6.475903051414395,-8.89338899216142,-4.188442848846183,0.3515625
12,1.0,oracle,128,-7.320938282843493,-8.90816198915534,-5.802088572446248,0.1796875
12,1.0,pc_rollout,128,-8.38145897208808,-10.569096757234101,-6.3272383185186545,0.2265625
12,1.0,route_aware_pc,128,-1.6179684914665493,-3.060245921099404,-0.19809896782928485,0.4921875
12,1.0,static,128,-6.433733501061624,-8.534377414448437,-4.423493016319714,0.2890625
12,2.0,forecast_matched,128,-7.58182686926826,-10.174029065459493,-5.112570708295143,0.328125
12,2.0,greedy,128,-5.429711960147607,-8.224713922769812,-2.7663668541262125,0.390625
12,2.0,oracle,128,-6.922020622733094,-8.505855562131634,-5.396385631292308,0.21875
12,2.0,pc_rollout,128,-6.190995538878543,-8.558877749635709,-3.9104665164884134,0.2890625
12,2.0,route_aware_pc,128,-1.724806180726907,-3.7812927942746835,0.22788656848513447,0.46875
12,2.0,static,128,-5.919901584038735,-8.473881786958774,-3.4248604277034858,0.359375
24,0.5,forecast_matched,128,-23.384512419591072,-25.91760231366399,-21.07366677853043,0.0
24,0.5,greedy,128,-21.88839678299953,-24.12114180115446,-19.672072275074868,0.0078125
24,0.5,oracle,128,-17.518699184357246,-19.373712235589434,-15.795767513642746,0.0
24,0.5,pc_rollout,128,-22.51450076402447,-24.866547001237468,-20.29005215131015,0.0078125
24,0.5,route_aware_pc,128,-18.321694667684977,-20.216697238227827,-16.534040596350838,0.015625
24,0.5,static,128,-22.42972800392773,-24.657878435455302,-20.31985055259579,0.0
24,1.0,forecast_matched,128,-43.31639643350267,-46.52739581914384,-40.14056576558446,0.0
24,1.0,greedy,128,-46.911114987957035,-51.445687248640965,-42.68268650546219,0.0078125
24,1.0,oracle,128,-32.59377162254779,-35.223653834769756,-30.09847201276217,0.0
24,1.0,pc_rollout,128,-43.801164447762304,-47.43201199973442,-40.3039654092323,0.0
24,1.0,route_aware_pc,128,-35.14609104213898,-37.987650668132716,-32.405929263824746,0.0
24,1.0,static,128,-39.83886865126689,-43.22722087939473,-36.577188299586155,0.0
24,2.0,forecast_matched,128,-55.8578975453447,-60.71947731402032,-51.196563654950836,0.0
24,2.0,greedy,128,-55.76788558493031,-60.965801738217195,-50.826000962535375,0.0
24,2.0,oracle,128,-41.43107300685902,-44.496210847627715,-38.4866394992124,0.0
24,2.0,pc_rollout,128,-54.0534141328459,-59.175533278875875,-49.307437683486086,0.0
24,2.0,route_aware_pc,128,-44.224575178783134,-47.769594823430396,-40.802540112048035,0.0
24,2.0,static,128,-51.087253186608564,-55.316183410405564,-46.9637509635876,0.0
