comparison,primary_family,crews,service_scale,n_pairs,policy_mean,comparator_mean,mean_difference,relative_reduction_percent,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_p,wilcoxon_p,holm_paired_t_p,holm_wilcoxon_p
route_aware_pc_minus_forecast_matched,True,4,0.5,128,121.77857375632486,123.10791752218233,-1.3293437658574714,1.079819878861928,-2.251759218983563,-0.46700807637787134,0.0038116282611858217,0.004732120971939182,0.02286976956711493,0.02366060485969591
route_aware_pc_minus_forecast_matched,True,4,1.0,128,167.57695782768926,168.66199347724842,-1.0850356495591689,0.6433195927484008,-2.328351453410765,0.06358025648703448,0.07975253369269471,0.17697355928944591,0.1634289556844073,0.17697355928944591
route_aware_pc_minus_forecast_matched,True,4,2.0,128,229.88671082521603,231.7614538223877,-1.8747429971716825,0.8089106131550275,-2.8473684404984523,-0.9366790556528074,0.0001744107589200985,0.0002506910208526075,0.0012208753124406896,0.0017548371459682524
route_aware_pc_minus_forecast_matched,True,12,0.5,128,60.782937892978914,61.15821858548037,-0.3752806925014638,0.6136226678625979,-0.6512852507527137,-0.11669914934478783,0.007507665844420395,0.016414975237710183,0.03753832922210197,0.04924492571313055
route_aware_pc_minus_forecast_matched,True,12,1.0,128,95.85340058526994,96.19360759914872,-0.34020701387879093,0.353669045552879,-0.6799319352275756,0.00016886353261571488,0.0544763185614691,0.06437112356430766,0.1634289556844073,0.12874224712861532
route_aware_pc_minus_forecast_matched,True,12,2.0,128,161.28854301116127,162.1860014081133,-0.8974583969520177,0.5533513306698506,-1.6294389376818288,-0.19834038996247316,0.0160264406932953,0.0010872651393179305,0.0641057627731812,0.006523590835907583
route_aware_pc_minus_forecast_matched,True,24,0.5,128,47.1485615746247,47.293291469258186,-0.144729894633486,0.3060262674412586,-0.297755765767898,0.014491990220840346,0.06615150832809376,0.007332225529055446,0.1634289556844073,0.029328902116221783
route_aware_pc_minus_forecast_matched,True,24,1.0,128,77.02819713325033,77.66935299596221,-0.6411558627118927,0.8254940178853098,-0.9364574506732855,-0.36528823783707665,2.799518657264394e-05,8.117150744530266e-06,0.00022396149258115152,6.493720595624212e-05
route_aware_pc_minus_forecast_matched,True,24,2.0,128,133.12884140466872,134.49223991255818,-1.3633985078894497,1.0137376764457788,-1.9524849304035368,-0.8231438459958011,6.407927145685267e-06,7.677303909992331e-07,5.7671344311167404e-05,6.909573518993098e-06
pc_rollout_minus_forecast_matched,False,4,0.5,128,121.72850289851257,123.10791752218233,-1.3794146236697697,1.1204922083270707,-2.419812495324656,-0.391102023502453,0.008587144707405292,0.010216863934001843,,
pc_rollout_minus_forecast_matched,False,4,1.0,128,168.31187893053374,168.66199347724842,-0.3501145467146698,0.20758354594089293,-1.543455267230634,0.7924957280796923,0.5549656131128102,0.9791300006824362,,
pc_rollout_minus_forecast_matched,False,4,2.0,128,230.55862248447139,231.7614538223877,-1.2028313379163253,0.5189954231293894,-2.4312025438437583,-0.021129741570574703,0.0543767414461458,0.1677939796616773,,
pc_rollout_minus_forecast_matched,False,12,0.5,128,60.585700477139554,61.15821858548037,-0.5725181083408221,0.9361262011590772,-0.8907365004709764,-0.2808269775454445,0.0003568143270454051,0.0012399494879124368,,
pc_rollout_minus_forecast_matched,False,12,1.0,128,95.87243360085841,96.19360759914872,-0.32117399829032217,0.33388289129221144,-0.6991489104342212,0.05221307073513045,0.09542321336688434,0.2144601498706421,,
pc_rollout_minus_forecast_matched,False,12,2.0,128,161.723969130522,162.1860014081133,-0.4620322775912892,0.2848780249712576,-1.2729664900345234,0.3770357747381178,0.2763369675423417,0.04524149356926259,,
pc_rollout_minus_forecast_matched,False,24,0.5,128,47.34402395933661,47.293291469258186,0.0507324900784224,-0.1072720643928955,-0.14829300623830108,0.25626532472663793,0.6227393564890646,0.8790279388833846,,
pc_rollout_minus_forecast_matched,False,24,1.0,128,77.76127756101656,77.66935299596221,0.0919245650543224,-0.11835371547269265,-0.27748165859382373,0.459366426495254,0.6238570067925988,0.3866840193496518,,
pc_rollout_minus_forecast_matched,False,24,2.0,128,133.70136476257736,134.49223991255818,-0.7908751499807956,0.5880451916742505,-1.4700600051683779,-0.13075204807016555,0.022758716844930648,0.0333002776571846,,
