mapping_seed,hour_index,timestamp_local,sample_type,penetration_multiplier,requested_ev_kw,feasible_fraction,feasible_ev_kw,unconstrained_feasible,unconstrained_converged,unconstrained_v_min_pu,unconstrained_v_max_pu,unconstrained_nodes_below_0_95,unconstrained_nodes_above_1_05,unconstrained_deenergized_nodes,unconstrained_max_line_loading_pu,unconstrained_limiting_line,unconstrained_losses_kw,unconstrained_source_kw,projected_converged,projected_v_min_pu,projected_v_max_pu,projected_nodes_below_0_95,projected_nodes_above_1_05,projected_deenergized_nodes,projected_max_line_loading_pu,projected_limiting_line,projected_losses_kw,projected_source_kw
0,44103,2023-01-13T08:00,random,1.0,79.95436143875122,1.0,79.95436143875122,True,True,0.987815042523238,1.0299995211313533,0,0,18,0.923556749243022,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,144.3910613024022,6246.313368765051,True,0.987815042523238,1.0299995211313533,0,0,18,0.923556749243022,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,144.3910613024022,6246.313368765051
0,44103,2023-01-13T08:00,random,3.0,239.86308431625366,0.91552734375,219.601212447742,False,True,0.9838420802651473,1.0299995074451507,0,0,18,1.028852622084851,l(r:p1udt175lv-p1ulv493),153.87405525159903,6415.670737970579,True,0.9845137694872195,1.029999509183645,0,0,18,0.9999881201041847,l(r:p1udt175lv-p1ulv493),152.63125644569612,6394.222257189055
0,44103,2023-01-13T08:00,random,5.0,399.7718071937561,0.54931640625,219.601212447742,False,True,0.978473921428054,1.0299994935978771,0,0,18,1.2583221587331366,l(r:p1udt175lv-p1ulv493),164.158286722131,6585.840429650428,True,0.9845137382070839,1.0299995091835035,0,0,18,0.999989083939979,l(r:p1udt175lv-p1ulv493),152.63134739861843,6394.223981833249
0,44103,2023-01-13T08:00,random,10.0,799.5436143875122,0.274658203125,219.601212447742,False,True,0.9645583185155346,1.0299994582377072,0,0,18,1.8441792225037354,l(r:p1udt175lv-p1ulv493),193.53563111718194,7015.0312433437375,True,0.9845137382070839,1.0299995091835035,0,0,18,0.999989083939979,l(r:p1udt175lv-p1ulv493),152.63134739861843,6394.223981833249
0,44752,2023-02-09T09:00,random,1.0,125.63688196241856,1.0,125.63688196241856,True,True,0.9849388114277009,1.0299995173071934,0,0,18,0.9291543217776355,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,146.77557180396246,6294.431212316001,True,0.9849388114277009,1.0299995173071934,0,0,18,0.9291543217776355,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,146.77557180396246,6294.431212316001
0,44752,2023-02-09T09:00,random,3.0,376.91064588725567,1.0,376.91064588725567,True,True,0.976026860051658,1.0299994958658172,0,0,18,0.9627120962625305,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,161.74267115267543,6560.548876423449,True,0.976026860051658,1.0299994958658172,0,0,18,0.9627120962625305,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,161.74267115267543,6560.548876423449
0,44752,2023-02-09T09:00,random,5.0,628.1844098120928,0.990478515625,622.2031617694483,False,True,0.966835652819522,1.0299994740845213,0,0,18,1.0029813927172953,l(r:p1udt175lv-p1ulv493),178.5299621955256,6828.576739067769,True,0.9670529924506921,1.0299994745951924,0,0,18,0.9999983832033026,l(r:p1udt175lv-p1ulv493),178.1166132931888,6822.31120830627
0,44752,2023-02-09T09:00,random,10.0,1256.3688196241856,0.4952392578125,622.2031617694483,False,True,0.9399180717563753,1.0299994180520755,12,0,18,1.3229587822299624,l(r:p1udt175lv-p1ulv493),229.0696187024625,7507.3573768720125,True,0.9670529924506921,1.0299994745951924,0,0,18,0.9999983832033026,l(r:p1udt175lv-p1ulv493),178.1166132931888,6822.31120830627
0,46073,2023-04-05T10:00,peak,1.0,190.9374189376831,1.0,190.9374189376831,True,True,0.985850414971602,1.029999511734936,0,0,18,0.9298958040918501,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,150.144255766851,6363.196503813289,True,0.985850414971602,1.029999511734936,0,0,18,0.9298958040918501,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,150.144255766851,6363.196503813289
0,46073,2023-04-05T10:00,peak,3.0,572.8122568130493,0.9151611328125,524.2155138339149,False,True,0.9757409182325218,1.029999478840309,0,0,18,1.038623269096524,l(r:p1udm822-p1ulv579),173.25754193874604,6767.889243353586,True,0.9770419324798747,1.0299994830581873,0,0,18,0.9999965522593487,l(r:p1udm822-p1ulv579),170.1163432944102,6716.322684545983
