penetration_multiplier,metric,mapping_level_mean,mapping_level_sd,ci95_low,ci95_high,mapping_replicates,scenario_rows
1.0,feasible_fraction,1.0,0.0,1.0,1.0,20,480
1.0,unconstrained_feasible,1.0,0.0,1.0,1.0,20,480
1.0,v_min,0.9858314453295423,0.0014307191416240304,0.9852044050190955,0.9864584856399891,20,480
1.0,line_loading,0.9286918680444394,0.0018861534376158275,0.9278652248531486,0.9295185112357301,20,480
3.0,feasible_fraction,0.9820443471272787,0.02947221867986313,0.9691275777817597,0.9949611164727977,20,480
3.0,unconstrained_feasible,0.83125,0.1477629235598273,0.7664900434397597,0.8960099565602404,20,480
3.0,v_min,0.9765003723450334,0.00471039545854292,0.9744359505135766,0.9785647941764902,20,480
3.0,line_loading,0.968408082384262,0.016257663630026044,0.9612828471419774,0.9755333176265466,20,480
5.0,feasible_fraction,0.8113381703694662,0.036947774322311416,0.7951450943090723,0.8275312464298601,20,480
5.0,unconstrained_feasible,0.4458333333333333,0.038474188203193274,0.428971276893847,0.4626953897728196,20,480
5.0,v_min,0.9663188864628284,0.008276696418835655,0.9626914643217859,0.9699463086038709,20,480
5.0,line_loading,1.044006230768204,0.04840681500110035,1.0227910087005276,1.0652214528358805,20,480
10.0,feasible_fraction,0.5765316009521484,0.029885767924024156,0.5634335856591198,0.589629616245177,20,480
10.0,unconstrained_feasible,0.2541666666666667,0.040329418397791125,0.23649151974469035,0.27184181358864307,20,480
10.0,v_min,0.9380955677518555,0.019195089456734114,0.929682948879404,0.9465081866243071,20,480
10.0,line_loading,1.3611769432902663,0.14345069884721215,1.2983069025379916,1.424046984042541,20,480
