row_type,condition,comparator,group,n_pairs,cost_mean,mean_control_action_fraction,executed_to_requested_restoration,service_continuity_mean,cost_difference,cost_bootstrap_ci95_low,cost_bootstrap_ci95_high,relative_cost_reduction_percent,paired_t_p,wilcoxon_p
summary,backup_300s,,cascade,256,1117.2673713904223,0.9695243271999061,0.7727937043282743,0.7226844941107471,,,,,,
summary,backup_300s,,nominal,256,605.9065632521804,0.9946051239967346,0.9251025253615368,0.8711409532722534,,,,,,
summary,backup_300s,,ood,256,1792.8060567928478,0.920094474684447,0.7145351374945439,0.5344475509422156,,,,,,
summary,backup_300s,,single_domain,256,707.4313539285799,0.9912057236845915,0.812933568489124,0.8409239004355543,,,,,,
summary,backup_60s,,cascade,256,1276.966346443165,0.9229615851072595,0.7267003934794829,0.6803264149993995,,,,,,
summary,backup_60s,,nominal,256,606.8825901828836,0.9930416345596312,0.9240233110295705,0.8711107815617632,,,,,,
summary,backup_60s,,ood,256,2055.8986508622766,0.8507713888927053,0.6586643387167176,0.4990993227898615,,,,,,
summary,backup_60s,,single_domain,256,712.4784833065062,0.985535890290824,0.800705467372134,0.8387534957451208,,,,,,
summary,no_backup,,cascade,256,1496.7371802255511,0.8509804889326915,0.6765598650927487,0.6317920075807095,,,,,,
summary,no_backup,,nominal,256,607.7207350306711,0.9932088255882264,0.9225124109648176,0.8703978498341154,,,,,,
summary,no_backup,,ood,256,2373.0498981177807,0.7497262195684016,0.5981012658227848,0.45780447687865766,,,,,,
summary,no_backup,,single_domain,256,718.2554526006825,0.9808632463682444,0.7865961199294532,0.8331934561493788,,,,,,
paired_comparison,backup_60s,no_backup,all,1024,1163.056517698708,0.938077624712605,0.7561945058819758,0.7223225037740363,-135.88429879496346,-146.03524148731972,-125.83472775063822,10.461161668763799,2.3612770711470992e-119,4.979468202961072e-140
paired_comparison,backup_60s,no_backup,nominal,256,606.8825901828836,0.9930416345596312,0.9240233110295705,0.8711107815617632,-0.8381448477874128,-1.0726236693477156,-0.6182946188358368,0.13791611828829778,4.107680286009011e-12,1.944251869773358e-11
paired_comparison,backup_60s,no_backup,single_domain,256,712.4784833065062,0.985535890290824,0.800705467372134,0.8387534957451208,-5.776969294176213,-7.705868562542982,-3.7151345499154345,0.804305664963458,3.1027148284295794e-08,1.2601409734470225e-25
paired_comparison,backup_60s,no_backup,cascade,256,1276.966346443165,0.9229615851072595,0.7267003934794829,0.6803264149993995,-219.77083378238603,-231.70349604215008,-207.9519836405525,14.6833282880878,5.139598194559142e-103,9.640418513895798e-44
paired_comparison,backup_60s,no_backup,ood,256,2055.8986508622766,0.8507713888927053,0.6586643387167176,0.4990993227898615,-317.15124725550413,-335.17217391580346,-299.53017301224173,13.364710430533185,8.273369483019185e-98,9.640418513895798e-44
paired_comparison,backup_300s,no_backup,all,1024,1055.8528363410076,0.9688574123914198,0.7892425553739142,0.7422992246901926,-243.08798015266373,-259.64242579650954,-226.74022442314967,18.714323013487974,8.414963633519379e-135,2.0052391072084607e-161
paired_comparison,backup_300s,no_backup,nominal,256,605.9065632521804,0.9946051239967346,0.9251025253615368,0.8711409532722534,-1.814171778490633,-2.0627871236056508,-1.571803963872558,0.2985206319147681,4.1673226606932193e-35,2.2056327870272734e-37
paired_comparison,backup_300s,no_backup,single_domain,256,707.4313539285799,0.9912057236845915,0.812933568489124,0.8409239004355543,-10.82409867210254,-13.009013477509301,-8.83984654139127,1.5069984687077969,2.1662307262437773e-20,1.3165621687260168e-38
paired_comparison,backup_300s,no_backup,cascade,256,1117.2673713904223,0.9695243271999061,0.7727937043282743,0.7226844941107471,-379.4698088351288,-395.2036498130139,-364.124560090134,25.353135730746295,2.9779112135016917e-128,9.640418513895798e-44
paired_comparison,backup_300s,no_backup,ood,256,1792.8060567928478,0.920094474684447,0.7145351374945439,0.5344475509422156,-580.2438413249329,-601.0172957256436,-559.8474304579897,24.451396567141796,9.511840108214435e-144,9.640418513895798e-44
