forecast,condition,group,policy,comparator,n,proposed_mean,reference_mean,difference,ci_low,ci_high,reduction_percent,paired_t_p,wilcoxon_p,holm_paired_t,holm_wilcoxon
graph,primary,published,central,matched,1024,517.1922532527327,517.8447315570389,-0.6524783043062259,-1.2596064088626324,-0.07446844357726519,0.1259988302563927,0.029918534672543007,2.6330956232722464e-05,1.0,0.0028700742293667485
graph,primary,published,robust,central,1024,517.0144821060553,517.1922532527327,-0.17777114667740307,-0.5754017545221385,0.1901280936575732,0.034372352942133665,0.3672434831418939,0.6907048615487108,1.0,1.0
graph,primary,published,protected_0.001,matched,1024,516.9096365544154,517.8447315570389,-0.93509500262351,-1.40564643712531,-0.5151648912394453,0.18057439723522847,3.760358413511058e-05,2.9860396360341604e-08,0.004813258769294154,3.91171192320475e-06
graph,primary,published,protected_0.001,central,1024,516.9096365544154,517.1922532527327,-0.2826166983172839,-0.6408068612335387,0.04331547882052,0.054644418306702594,0.1064981822879268,0.15720021019693337,1.0,1.0
graph,primary,independent,central,matched,1024,489.00506218979615,489.0429338573175,-0.03787166752130203,-0.1412617879617841,0.06598584479212949,0.0077440373634662125,0.4754433508273932,0.941231079074286,1.0,1.0
graph,primary,independent,robust,central,1024,489.0868411387482,489.00506218979615,0.08177894895200336,-0.1903124335129127,0.3285358625584214,-0.016723538317945413,0.5353278442610673,0.45303146907021485,1.0,1.0
graph,primary,independent,protected_0.001,matched,1024,488.98236135722243,489.0429338573175,-0.060572500095076975,-0.12624676998175346,-0.01035146415233612,0.012385926858673214,0.042892499442540234,0.0625,1.0,1.0
graph,primary,independent,protected_0.001,central,1024,488.98236135722243,489.00506218979615,-0.022700832573774962,-0.1109363771430107,0.06071713569003654,0.004642248992703505,0.6043932350452093,0.4939682686165623,1.0,1.0
graph,primary,independent,observed,matched,1024,489.53181181155304,489.0429338573175,0.4888779542355641,0.1897107531784484,0.8453778154011304,-0.09996626479796934,0.0037418276430738738,0.017913864159601545,0.36295728137816574,1.0
graph,primary,independent,observed,central,1024,489.53181181155304,489.00506218979615,0.5267496217568661,0.24512596004873852,0.8735238134437545,-0.10771864393346921,0.001189892826375493,8.152759619406424e-06,0.12136906829030028,0.0009375673562317388
graph,matrix_scale_075,published,central,matched,1024,521.8278426914471,518.7987673744839,3.0290753169633318,2.0928511835081762,4.041663166709831,-0.5838632447591877,1.1243733662539586e-09,5.0875257419300594e-05,1.686560049380938e-07,0.005341902029026562
graph,matrix_scale_075,published,robust,central,1024,518.8044356889698,521.8278426914471,-3.0234070024775144,-3.9198024338033397,-2.2147102698611136,0.5793878277716262,6.238946073656796e-12,7.273427087436202e-15,9.79514533564117e-10,1.1273811985526113e-12
graph,matrix_scale_075,published,protected_0.001,matched,1024,519.1683114231657,518.7987673744839,0.3695440486819166,-0.08236115326628086,0.8497023563982615,-0.07123071061870297,0.12098342232254981,0.2892299191755968,1.0,1.0
graph,matrix_scale_075,published,protected_0.001,central,1024,519.1683114231657,521.8278426914471,-2.659531268281415,-3.5153271937641475,-1.887744073625139,0.5096568352053181,3.074799762392876e-10,0.0005909868722852678,4.642947641213242e-08,0.05968967410081205
graph,matrix_scale_075,independent,central,matched,1024,489.6742498513745,489.0429338573175,0.6313159940570129,0.2447442955727413,1.0795602586045308,-0.1290921410677625,0.0032211366836167716,0.03299830244844644,0.31889253167806036,1.0
graph,matrix_scale_075,independent,robust,central,1024,489.0963446786867,489.6742498513745,-0.5779051726877724,-1.0228510387658116,-0.19360755713624686,0.11801828927356864,0.006942289906584524,0.012238704281842105,0.6525752512189453,1.0
graph,matrix_scale_075,independent,protected_0.001,matched,1024,489.06125590534054,489.0429338573175,0.018322048023037496,-0.06464189918369811,0.11517640945385169,-0.0037465111454576525,0.6890946027616045,0.9375,1.0,1.0
graph,matrix_scale_075,independent,protected_0.001,central,1024,489.06125590534054,489.6742498513745,-0.6129939460339754,-1.0547489569643242,-0.23970322725160195,0.12518402718134164,0.0033874755829758824,0.015071007118542368,0.33197260713163645,1.0
graph,matrix_scale_075,independent,observed,matched,1024,494.937831960862,489.0429338573175,5.89489810354451,4.39490560243601,7.553578973973642,-1.2053948018527956,5.733701044195887e-13,3.481782086767863e-17,9.173921670713419e-11,5.466397876225545e-15
graph,matrix_scale_075,independent,observed,central,1024,494.937831960862,489.6742498513745,5.263582109487498,3.8254489462289243,6.858411625509939,-1.0749150299582009,2.589072991784202e-11,9.54325633929911e-17,4.013063137265513e-09,1.488747988930661e-14
graph,matrix_scale_125,published,central,matched,1024,517.3838645527762,518.6661434673142,-1.2822789145379712,-1.9351280512440345,-0.6833295167356637,0.24722626118717908,6.431667122208331e-05,2.20517722524095e-09,0.007975267231538331,3.0210927985801015e-07
graph,matrix_scale_125,published,robust,central,1024,520.1971675617664,517.3838645527762,2.8133030089901916,2.0051759165519667,3.6840992508505153,-0.5437554592897857,7.769045235559328e-11,2.5211543955452484e-10,1.1886639210405772e-08,3.580039241674253e-08
graph,matrix_scale_125,published,protected_0.001,matched,1024,517.7720531454461,518.6661434673142,-0.8940903218681342,-1.3998459720280143,-0.47025909739022675,0.17238262669143717,0.00017878014302413737,3.6816345527768135e-09,0.02109605687684821,4.93339030072093e-07
graph,matrix_scale_125,published,protected_0.001,central,1024,517.7720531454461,517.3838645527762,0.38818859266983724,-0.018613404222572984,0.8419784454458326,-0.07502912619924576,0.07352636991518677,0.00012814831754513197,1.0,0.013199276707148593
graph,matrix_scale_125,independent,central,matched,1024,488.87605174798193,489.0429338573175,-0.16688210933549924,-0.4084541360410581,0.008759719908675542,0.03412422463999624,0.12310848803044167,0.2109684721599312,1.0,1.0
graph,matrix_scale_125,independent,robust,central,1024,493.4565622332208,488.87605174798193,4.580510485238818,3.1815094253375924,6.128214243249122,-0.9369472014145815,1.219621092376768e-09,2.329520785845638e-11,1.817235427641384e-07,3.424395555193088e-09
graph,matrix_scale_125,independent,protected_0.001,matched,1024,488.9753258633717,489.0429338573175,-0.06760799394578498,-0.1353784056591394,-0.015190005729891709,0.013824551847120687,0.02778254619194099,0.03125,1.0,1.0
graph,matrix_scale_125,independent,protected_0.001,central,1024,488.9753258633717,488.87605174798193,0.09927411538971424,-0.0647132052987692,0.3350474636877308,-0.020306602263448683,0.338932756791154,0.6761359558002583,1.0,1.0
graph,matrix_scale_125,independent,observed,matched,1024,488.9915561801189,489.0429338573175,-0.0513776771986156,-0.15779575744077,0.05303610221160103,0.010505760055334013,0.34013018646030513,0.5597054164637542,1.0,1.0
graph,matrix_scale_125,independent,observed,central,1024,488.9915561801189,488.87605174798193,0.1155044321368836,-0.008832247212033842,0.3342077568405178,-0.023626526953794563,0.22611481517735055,0.25945234298706055,1.0,1.0
graph,matrix_noise_015,published,central,matched,1024,516.6747675561076,518.1099725654653,-1.4352050093578579,-2.057681213483081,-0.8812328152636185,0.2770077947450652,1.8129922056832213e-06,3.7250824656300917e-14,0.0002444252947302173,5.69937617241404e-12
graph,matrix_noise_015,published,robust,central,1024,517.1721487420368,516.6747675561076,0.4973811859293111,0.1143836239985577,0.8975386115388909,-0.0962658169435957,0.012073342748893835,0.002038183867703823,1.0,0.18955109969645556
graph,matrix_noise_015,published,protected_0.001,matched,1024,517.2529906123232,518.1099725654653,-0.8569819531421671,-1.3420667393638273,-0.46475923118468937,0.16540541555275387,0.00013145296586299682,3.260481662437087e-09,0.015905808869422614,4.4016502442900673e-07
graph,matrix_noise_015,published,protected_0.001,central,1024,517.2529906123232,516.6747675561076,0.578223056215691,0.19997827253669437,0.9963430687345092,-0.11191238522266325,0.004138983735938148,2.06137927123324e-08,0.3973424386500622,2.7210206380278767e-06
graph,matrix_noise_015,independent,central,matched,1024,488.9534054392065,489.0429338573175,-0.08952841811096846,-0.17833928115903608,-0.01403877669878402,0.01830686263163331,0.03393511130592912,0.44440271392272346,1.0,1.0
graph,matrix_noise_015,independent,robust,central,1024,488.9429758704918,488.9534054392065,-0.010429568714697704,-0.2634362789470838,0.1926241979964322,0.0021330393854868965,0.9287369211605288,0.785326566096046,1.0,1.0
graph,matrix_noise_015,independent,protected_0.001,matched,1024,488.98236135722243,489.0429338573175,-0.060572500095076975,-0.12624676998175346,-0.01035146415233612,0.012385926858673214,0.042892499442540234,0.0625,1.0,1.0
graph,matrix_noise_015,independent,protected_0.001,central,1024,488.98236135722243,488.9534054392065,0.028955918015891466,-0.022198959289042603,0.09413411358971514,-0.0059220199090098515,0.3314033287979292,0.9946433438278496,1.0,1.0
graph,matrix_noise_015,independent,observed,matched,1024,489.00066369009363,489.0429338573175,-0.04227016722383906,-0.10787114202558906,0.013933092737213973,0.008643447087648085,0.1809413553061247,0.7428929958833029,1.0,1.0
graph,matrix_noise_015,independent,observed,central,1024,489.00066369009363,488.9534054392065,0.04725825088712937,0.0023363382946151564,0.11141425273479369,-0.009665184936114566,0.0946807281391576,0.14290618896484375,1.0,1.0
graph,expanded_unsupported,published,central,matched,1024,644.9017340734197,645.0127596619423,-0.11102558852251176,-1.1650963432709716,0.9269807150210461,0.0172129290249547,0.8361962805670863,0.46099278311272074,1.0,1.0
graph,expanded_unsupported,published,robust,central,1024,642.8613027134791,644.9017340734197,-2.040431359940608,-2.775249410947686,-1.363891251186069,0.31639415001298665,2.892570769510422e-08,1.1096900691792193e-09,4.078524785009695e-06,1.553566096850907e-07
graph,expanded_unsupported,published,protected_0.001,matched,1024,643.5107573497236,645.0127596619423,-1.5020023122186417,-2.292884456872653,-0.7936866740827689,0.23286396892456146,8.061654430244594e-05,1.7917069827628388e-07,0.009835218404898404,2.257550798281177e-05
graph,expanded_unsupported,published,protected_0.001,central,1024,643.5107573497236,644.9017340734197,-1.39097672369613,-2.0727695838306,-0.7416101962817598,0.21568816615056152,5.42150158170339e-05,0.010341289708492823,0.006776876977129238,0.8893509149303829
graph,expanded_unsupported,independent,central,matched,1024,602.9405427578276,603.092430651591,-0.15188789376333522,-0.3739954235561393,0.03639593555190821,0.02518484498292128,0.1483219459628939,0.8083375272295169,1.0,1.0
graph,expanded_unsupported,independent,robust,central,1024,602.8855040609766,602.9405427578276,-0.05503869685116114,-0.47069208708211113,0.2928460432656387,0.009128378828104043,0.7777815263695904,0.7005524457588166,1.0,1.0
graph,expanded_unsupported,independent,protected_0.001,matched,1024,602.9818667629363,603.092430651591,-0.11056388865472394,-0.23252134397625912,-0.01792392732386361,0.01833282645170474,0.04526601351858951,0.0625,1.0,1.0
graph,expanded_unsupported,independent,protected_0.001,central,1024,602.9818667629363,602.9405427578276,0.0413240051086113,-0.11326910905762565,0.23487813032171073,-0.006853744636178691,0.6439927910365952,0.6066220545208824,1.0,1.0
graph,expanded_unsupported,independent,observed,matched,1024,604.2983990723862,603.092430651591,1.20596842079533,0.5697907169202444,1.9338371663290745,-0.19996411155291435,0.0005677528265446769,0.002219956170856346,0.06018179961373575,0.20423596771878383
graph,expanded_unsupported,independent,observed,central,1024,604.2983990723862,602.9405427578276,1.3578563145586653,0.7465764396147718,2.0603488914952655,-0.2252056742357847,6.813141751381756e-05,1.4051875041332096e-06,0.00838016435419956,0.00016862250049598515
graph,zero_all_unsupported,published,central,matched,1024,399.0759258154117,400.05629670441704,-0.980370889005312,-1.392294659893989,-0.5918576782234011,0.24505823232415272,1.8105577387423504e-06,1.0569304205266498e-13,0.0002444252947302173,1.606534239200508e-11
graph,zero_all_unsupported,published,robust,central,1024,399.46551055054806,399.0759258154117,0.3895847351362899,0.17498141698997413,0.6084905288165307,-0.09762170803469816,0.0004909124069558326,4.936213328499257e-05,0.05350945235818575,0.005232386128209213
graph,zero_all_unsupported,published,protected_0.001,matched,1024,399.34868460020334,400.05629670441704,-0.7076121042136936,-1.0601590725068022,-0.392684007223897,0.17687813191364793,3.926844367929677e-05,1.3629132653344777e-08,0.004964878301422707,1.8126746428948553e-06
graph,zero_all_unsupported,published,protected_0.001,central,1024,399.34868460020334,399.0759258154117,0.2727587847916183,0.08994393527538556,0.4604951413961044,-0.0683475918108325,0.004415948949069928,2.1611075130761546e-06,0.41951515016164315,0.0002571717940560624
graph,zero_all_unsupported,independent,central,matched,1024,384.63027144270814,384.6663116491061,-0.03604020639795591,-0.0966702639945534,0.017945783771642573,0.009369213083268884,0.22396700824923554,0.9144465336515918,1.0,1.0
