forecast,condition,group,policy,comparator,metric,n,proposed,reference,difference,ci_low,ci_high,scope
graph,matrix_noise_015,independent,protected_0.001,central,q99,1024,2801.6077383422844,2801.6077383422844,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,independent,protected_0.001,central,es95,1024,2285.6457281708713,2285.324785172939,0.3209429979324341,-0.012088418006896973,0.7723373174667358,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,matrix_noise_015,independent,protected_0.001,central,maximum,1024,3822.907287597656,3822.907287597656,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,published,protected_0.001,central,q95,1024,1971.7823684692376,1972.7735855102533,-0.991217041015716,-6.86126327514603,31.07035827636423,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,published,protected_0.001,central,q99,1024,3190.9090136718746,3190.9090136718746,0.0,-4.653717041015625,14.992899780273092,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,published,protected_0.001,central,es95,1024,2703.8089975714674,2702.5630947351447,1.2459028363227844,-3.490011452138435,7.7234563603997195,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,published,protected_0.001,central,maximum,1024,4688.2138671875,4580.443237304688,107.77062988281159,0.0,107.77062988281159,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,independent,protected_0.001,central,q95,1024,1859.1276451110832,1866.0512199401849,-6.9235748291016534,-13.219590759275889,0.0526275634765625,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,independent,protected_0.001,central,q99,1024,3132.168493652343,3132.168493652343,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,independent,protected_0.001,central,es95,1024,2607.1930555701247,2607.0156489014616,0.1774066686630249,-0.6081162095069885,0.6070227161049729,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,expanded_unsupported,independent,protected_0.001,central,maximum,1024,4474.955139160156,4474.955139160156,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
graph,zero_all_unsupported,published,protected_0.001,central,q95,1024,1363.9675148010253,1363.9653488159179,0.0021659851074673497,-10.729843139648438,2.428387069702012,"Paired marginal bootstrap interval, exploratory tail endpoint"
