policy,comparator,group,metric,direction,n_pairs,policy_mean,comparator_mean,mean_difference_pc_minus_comparator,mean_difference_policy_minus_comparator,mean_difference_bootstrap_ci95_low,mean_difference_bootstrap_ci95_high,relative_reduction_percent,paired_cohens_dz,paired_t_p,wilcoxon_p,primary_family,holm_p_primary_paired_t,holm_p_primary_wilcoxon
robust_pc_rollout,forecast_matched,all,cost,lower,1024,934.7571464507894,935.272714631174,-0.5155681803846284,-0.5155681803846284,-0.6074306471024247,-0.43045765618006193,0.05512490339119359,-0.36025766025223277,5.382433018498529e-29,5.84064408580395e-71,True,2.6912165092492645e-28,2.920322042901975e-70
robust_pc_rollout,forecast_matched,all,mobility_delay,lower,1024,4.598509649522354,4.6061064733257275,-0.007596823803373454,-0.007596823803373454,-0.011682005510554072,-0.0041519826299581735,0.1649294007285149,-0.12487517838606965,6.903964464726714e-05,5.0973530652416567e-33,False,,
robust_pc_rollout,forecast_matched,all,unserved_energy,lower,1024,269.43862443231774,269.4971161053327,-0.058491673014941625,-0.058491673014941625,-0.06717620895797154,-0.05044501928823593,0.02170400702621256,-0.4247740946140661,8.316150105637495e-39,1.7583562801541185e-68,False,,
robust_pc_rollout,forecast_matched,all,comm_loss,lower,1024,62.09262477148877,62.18225434200576,-0.0896295705169905,-0.0896295705169905,-0.10803150862411712,-0.07274248431422166,0.14414011113849784,-0.3087132757998832,4.805348232919515e-22,4.582250613429232e-52,False,,
robust_pc_rollout,forecast_matched,all,power_service_loss,lower,1024,18.676540435112685,18.72011877545269,-0.043578340340003234,-0.043578340340003234,-0.06049146717517046,-0.028494487955434654,0.23278880258573262,-0.1650060643692039,1.575922748582403e-07,2.6692460136843117e-22,False,,
robust_pc_rollout,forecast_matched,all,min_voltage_pu,higher,1024,0.9889647801930306,0.9889650997241233,-3.195310926564334e-07,-3.195310926564334e-07,-4.6595013872886315e-07,-1.9676348209495954e-07,3.2309642953585336e-05,-0.1456317074401302,3.575747624888661e-06,9.056529760856649e-18,False,,
robust_pc_rollout,forecast_matched,all,voltage_violation_pu_hours,lower,1024,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,thermal_overload_pu_hours,lower,1024,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,losses_mwh,lower,1024,0.8429745499365697,0.8429720050975638,2.5448390060468697e-06,2.5448390060468697e-06,2.1806086002817094e-06,2.9416169940065695e-06,-0.0003018889109789993,0.4102040760236603,1.72135183212932e-36,4.200940909412877e-69,False,,
robust_pc_rollout,forecast_matched,all,mean_smartds_projection_fraction,higher,1024,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,smartds_curtailed_energy_kwh,lower,1024,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,crew_completion_fraction,higher,1024,0.9373433760989269,0.9372603048732776,8.307122564935054e-05,8.307122564935054e-05,-0.00016186382519390352,0.00032798690025252536,-0.008863196832024396,0.02075511252546284,0.5067352699584686,0.6447399915908305,False,,
robust_pc_rollout,forecast_matched,all,crew_mean_completion_h,lower,1024,1.2343659611162239,1.2331781728933364,0.001187788222887605,0.001187788222887605,0.0007820276220837483,0.0016129195062765727,-0.0963192707263675,0.17707467969479096,1.8952778428344674e-08,3.222823951125747e-05,False,,
robust_pc_rollout,forecast_matched,all,crew_total_travel_h,lower,1024,5.126399739583333,5.112027994791666,0.014371744791666677,0.014371744791666677,0.0017899576822916674,0.02716593424479167,-0.28113587809591756,0.06949805406040276,0.02637032615988077,0.05928361897812001,False,,
robust_pc_rollout,forecast_matched,all,latency_ms,lower,1024,170.9965119030888,44.3660504890128,126.630461414076,126.630461414076,126.07880157141457,127.16130448802876,-285.42198374280775,14.09952886448497,0.0,4.0561928102046334e-169,False,,
robust_pc_rollout,forecast_matched,nominal,cost,lower,256,603.8918169178637,603.8959598592423,-0.004142941378589782,-0.004142941378589782,-0.010279418362667488,-0.00033689872835670516,0.0006860356177172355,-0.09920062621041052,0.11370426050761827,0.0023193359375,True,0.11370426050761827,0.0023193359375
robust_pc_rollout,forecast_matched,nominal,mobility_delay,lower,256,1.2627856895096958,1.2627971595912133,-1.1470081517472863e-05,-1.1470081517472863e-05,-3.158500549034215e-05,-3.9569567888975143e-07,0.0009083075164015972,-0.07747771090857603,0.21624694377390327,0.203125,False,,
robust_pc_rollout,forecast_matched,nominal,unserved_energy,lower,256,228.5822463313234,228.5838070770842,-0.0015607457607984543,-0.0015607457607984543,-0.0038292823126539585,-0.00011697153095155955,0.000682789293238139,-0.0977369679022371,0.11910667792739937,0.0023193359375,False,,
robust_pc_rollout,forecast_matched,nominal,comm_loss,lower,256,4.275184114318108,4.275221548770787,-3.7434452679008245e-05,-3.7434452679008245e-05,-0.00010531519510550424,-6.224625394679607e-07,0.0008756143337126332,-0.07441480142033842,0.23490336513066434,0.1640625,False,,
robust_pc_rollout,forecast_matched,nominal,power_service_loss,lower,256,9.260081593842314e-05,9.31387783552587e-05,-5.37962416835569e-07,-5.37962416835569e-07,-1.255997707727552e-06,-1.5187850976872141e-13,0.5775923050908206,-0.1085027144417042,0.08376401639538715,0.03125,False,,
robust_pc_rollout,forecast_matched,nominal,min_voltage_pu,higher,256,0.9888641639785882,0.9888641626673642,1.3112241782804734e-09,1.3112241782804734e-09,2.4606944086517406e-15,3.908535054820711e-09,-1.325990189333563e-07,0.06643921280411792,0.28877516932657193,0.203125,False,,
robust_pc_rollout,forecast_matched,nominal,voltage_violation_pu_hours,lower,256,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,thermal_overload_pu_hours,lower,256,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,losses_mwh,lower,256,0.8433860682223937,0.8433860103032467,5.791914700105372e-08,5.791914700105372e-08,5.0298377496566834e-09,1.3705072839678657e-07,-6.8674540831224355e-06,0.10719042511579961,0.08755146823492319,0.00193023681640625,False,,
robust_pc_rollout,forecast_matched,nominal,mean_smartds_projection_fraction,higher,256,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,smartds_curtailed_energy_kwh,lower,256,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,crew_completion_fraction,higher,256,0.9843017868665398,0.9843017868665398,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,crew_mean_completion_h,lower,256,1.1696264323671794,1.169666632269033,-4.0199901853549616e-05,-4.0199901853549616e-05,-0.00012103090142641345,2.2685470032472295e-05,0.003436868313116357,-0.06620203951355544,0.29049614394000084,0.5771484375,False,,
robust_pc_rollout,forecast_matched,nominal,crew_total_travel_h,lower,256,3.638541666666667,3.6390625,-0.000520833333333335,-0.000520833333333335,-0.0039713541666666595,0.0022135416666666623,0.014312294260770046,-0.02076108922038099,0.7400281680636452,0.59814453125,False,,
robust_pc_rollout,forecast_matched,nominal,latency_ms,lower,256,168.10591953405188,40.88032311301504,127.22559642103684,127.22559642103684,126.20165966056145,128.2355121319521,-311.2147525578929,15.25149726688964,3.170625728579001e-304,9.640418513895798e-44,False,,
