policy,group,n,cost_mean,cost_ci95,mobility_delay_mean,mobility_delay_ci95,unserved_energy_mean,unserved_energy_ci95,comm_loss_mean,comm_loss_ci95,feeder_margin_exceedance_mean,feeder_margin_exceedance_ci95,power_service_loss_mean,power_service_loss_ci95,peak_risk_mean,peak_risk_ci95,service_continuity_mean,service_continuity_ci95,min_voltage_pu_mean,min_voltage_pu_ci95,voltage_violation_pu_hours_mean,voltage_violation_pu_hours_ci95,voltage_violating_bus_hours_mean,voltage_violating_bus_hours_ci95,thermal_overload_pu_hours_mean,thermal_overload_pu_hours_ci95,thermal_overloaded_branch_hours_mean,thermal_overloaded_branch_hours_ci95,losses_mwh_mean,losses_mwh_ci95,latency_ms_mean,latency_ms_ci95,mean_control_action_fraction_mean,mean_control_action_fraction_ci95,requested_restoration_mean,requested_restoration_ci95,executed_restoration_mean,executed_restoration_ci95,requested_charge_capacity_mean,requested_charge_capacity_ci95,executed_charge_capacity_mean,executed_charge_capacity_ci95,mean_smartds_projection_fraction_mean,mean_smartds_projection_fraction_ci95,smartds_curtailed_energy_kwh_mean,smartds_curtailed_energy_kwh_ci95,smartds_raw_infeasible_hours_mean,smartds_raw_infeasible_hours_ci95,smartds_projected_infeasible_hours_mean,smartds_projected_infeasible_hours_ci95,crew_job_count_mean,crew_job_count_ci95,crew_jobs_dispatched_mean,crew_jobs_dispatched_ci95,crew_jobs_completed_mean,crew_jobs_completed_ci95,crew_completion_fraction_mean,crew_completion_fraction_ci95,crew_mean_completion_h_mean,crew_mean_completion_h_ci95,crew_total_travel_h_mean,crew_total_travel_h_ci95
forecast_matched,cascade,256,1002.1745886868703,81.05035410007805,5.303139395033396,0.5905202563885529,301.33679501441657,27.824348960318304,57.4265969239641,3.11755800954804,0.0,0.0,21.92637357514334,2.3956090411218574,54.48940792679787,2.876280803909601,0.7725858839341658,0.030157218896446136,0.9890539298660229,2.618689622601866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8429166679598468,0.00017499148082271443,46.713564910229856,0.7122650303897253,0.9894170261686668,0.000642609170046577,34.74609375,0.3187489762034212,31.890625,0.3441764444855654,176.60250122100115,3.7258797487768796e-07,170.7591328471899,0.5300208809945729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74609375,0.3187489762034212,32.7421875,0.35412462787557536,31.890625,0.3441764444855654,0.917653923578677,0.005034723287635937,1.629991302261336,0.03502225426720551,4.174739583333333,0.08146183654843926
forecast_matched,nominal,256,603.926468264871,65.24844214551653,1.2631919560965283,0.17185648884026455,228.5952056965907,24.675140009532274,4.275073075579712,0.5704558431328774,0.0,0.0,0.00012614599621328876,6.0335037684705004e-05,38.17119314933785,2.3239622712096817,0.8716424379638742,0.03381448356322917,0.9888641883911142,3.964506479566473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433855550037294,0.00020883218698568876,43.76863007018983,0.6198050138431779,1.0,0.0,18.09765625,0.684959444620159,17.75390625,0.6671558399150006,176.60250113904476,4.139734706964511e-07,176.60250113904476,4.139734706964511e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09765625,0.684959444620159,18.09765625,0.684959444620159,17.75390625,0.6671558399150006,0.9819977499479882,0.0037563256709003357,1.2843703792626249,0.041485710457363004,2.816796875,0.07093933900250673
forecast_matched,ood,256,1456.7202130225487,89.14126051109103,10.176488857991245,1.1739199779164113,289.4143368222576,27.281791921832497,183.96906020352617,6.779390069897548,0.0,0.0,52.001288127951454,5.489373098467233,67.2395657747984,3.2284830514838325,0.6456230759511533,0.030608354413298018,0.9890065869202065,2.8924563138738575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421675614611781,0.00015946065778051633,46.922050969139185,0.7017341150213829,0.9634482463200887,0.0015046235698820138,35.796875,0.09985521841450172,30.484375,0.24087442509369003,176.60250099748373,3.6153357911084643e-07,158.26329747587442,1.0234910569342437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.796875,0.09985521841450172,31.3359375,0.21494684758935856,30.484375,0.24087442509369003,0.8516542695096122,0.006397790542695753,1.6242124585289954,0.03500719823796239,4.041015625,0.06178987791040344
forecast_matched,single_domain,256,694.5723704464536,70.94064218773093,1.8921255898137395,0.24384561020951684,260.5100458317902,26.64651083585955,5.960681083728559,0.7226278330414319,0.0,0.0,2.4251005237759693,0.6685787416131906,40.876561946514904,2.444598052332231,0.8491015621890589,0.035407223044686936,0.9889445234590394,3.886986953162086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433388205722846,0.00020601733686655138,46.888386528128954,0.7195495946431537,0.9994064554339275,0.00011247981866200463,33.22265625,0.46550686410541636,32.1328125,0.4734772284825788,176.60250063240528,4.231482465433689e-07,176.33574241399765,0.059190229473065833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22265625,0.46550686410541636,33.125,0.4680089763677448,32.1328125,0.4734772284825788,0.9671457833894745,0.004317149432712991,1.6518085435147787,0.03628290183784974,4.187174479166667,0.08782223535833229
greedy,cascade,256,1002.1745886868703,81.05035410007805,5.303139395033396,0.5905202563885529,301.33679501441657,27.824348960318304,57.4265969239641,3.11755800954804,0.0,0.0,21.92637357514334,2.3956090411218574,54.48940792679787,2.876280803909601,0.7725858839341658,0.030157218896446136,0.9890539309004907,2.6186903202200723e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8429159769240104,0.0001749701935874537,1.0600490916961764,0.041713971359514934,0.9894170261686668,0.000642609170046577,34.74609375,0.3187489762034212,31.890625,0.3441764444855654,176.60250122100115,3.7258797487768796e-07,170.7591328471899,0.5300208809945729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74609375,0.3187489762034212,32.7421875,0.35412462787557536,31.890625,0.3441764444855654,0.917653923578677,0.005034723287635937,1.629993214050357,0.035023090510636054,4.174739583333333,0.08146003052815877
greedy,nominal,256,603.926468264871,65.24844214551653,1.2631919560965283,0.17185648884026455,228.5952056965907,24.675140009532274,4.275073075579712,0.5704558431328774,0.0,0.0,0.00012614599621328876,6.0335037684705004e-05,38.17119314933785,2.3239622712096817,0.8716424379638742,0.03381448356322917,0.9888642004105174,3.964521315530898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433846915580274,0.0002088057324124932,0.6433244110060817,0.019308158322534453,1.0,0.0,18.09765625,0.684959444620159,17.75390625,0.6671558399150006,176.60250113904476,4.139734706964511e-07,176.60250113904476,4.139734706964511e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09765625,0.684959444620159,18.09765625,0.684959444620159,17.75390625,0.6671558399150006,0.9819977499479882,0.0037563256709003357,1.2843703792626249,0.041485710457363004,2.816796875,0.07093933900250673
greedy,ood,256,1456.2020181580447,89.09026429438369,10.173283993024853,1.1738699572515783,289.3995337107044,27.28062401431381,183.83812278835103,6.76886037029922,0.0,0.0,51.976267592490956,5.489472223322578,67.24441638588905,3.228680025939469,0.6456592847523422,0.03061213645695735,0.9890065520528795,2.8926942443168516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421677520879429,0.0001595117467429973,1.0448909503490238,0.042022868731449614,0.9634600850210214,0.0015041430660932165,35.796875,0.09985521841450172,30.484375,0.24087442509369003,176.60250099003315,3.659718698437479e-07,158.2643502354622,1.023080677384331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.796875,0.09985521841450172,31.3359375,0.21494684758935856,30.484375,0.24087442509369003,0.8516542695096122,0.006397790542695753,1.6251915005359459,0.035094802900731414,4.044466145833334,0.06197019422902304
greedy,single_domain,256,694.5723704464536,70.94064218773093,1.8921255898137395,0.24384561020951684,260.5100458317902,26.64651083585955,5.960681083728559,0.7226278330414319,0.0,0.0,2.4251005237759693,0.6685787416131906,40.876561946514904,2.444598052332231,0.8491015621890589,0.035407223044686936,0.9889445253777548,3.8870033033329265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433380491840242,0.00020598677107667765,1.0418210864978998,0.03880575353512754,0.9994064554339275,0.00011247981866200463,33.22265625,0.46550686410541636,32.1328125,0.4734772284825788,176.60250063240528,4.231482465433689e-07,176.33574241399765,0.059190229473065833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22265625,0.46550686410541636,33.125,0.4680089763677448,32.1328125,0.4734772284825788,0.9671457833894745,0.004317149432712991,1.6518085435147787,0.03628290183784974,4.187174479166667,0.08782223535833229
oracle,cascade,256,894.8604043972815,77.74175603212937,3.438957870717816,0.4535039352774824,264.9659579284489,26.932803497200876,51.75087087182328,2.7922936683771176,0.0,0.0,21.489968084387243,2.3718823429617797,49.977440021932125,3.0352219240210556,0.8262270377480304,0.03141813197908185,0.9889898603011732,3.0796483032709596e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444555276019527,0.00023034972718527662,7.309437627858036,0.21648525546826408,0.9894194522251686,0.0006366692637202402,34.74609375,0.3187489762034212,31.953125,0.3457544123568283,176.60250076651573,4.742214450503381e-07,170.21307949721813,0.5959558254117969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74609375,0.3187489762034212,32.7421875,0.35412462787557536,31.953125,0.3457544123568283,0.919434662545971,0.0050706244572131624,1.6839260367974511,0.036271982363451555,4.233919270833334,0.08068402596515811
oracle,nominal,256,486.3595237522717,61.540140752424485,0.05704061333610295,0.013580147087036715,186.98466843366623,23.658944065791985,0.04276559816207737,0.015752329398413457,0.0,0.0,0.00010072867184555186,5.311044696433782e-05,30.655335317012764,2.5791399379476636,0.9075293667461832,0.03501167426916118,0.9886757046821989,5.471009959353555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8452015032075199,0.0002874730608034604,7.1945503880973165,0.2140613336831054,1.0,0.0,18.09765625,0.684959444620159,17.7578125,0.6672214753483687,176.60250076651573,6.756693776179708e-07,176.60250076651573,6.756693776179708e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09765625,0.684959444620159,18.09765625,0.684959444620159,17.7578125,0.6672214753483687,0.9821879418855026,0.0038042486428760823,1.299039759328013,0.04240874089050866,2.8703125,0.07263169419826697
