policy,group,n,cost_mean,cost_ci95,mobility_delay_mean,mobility_delay_ci95,unserved_energy_mean,unserved_energy_ci95,comm_loss_mean,comm_loss_ci95,feeder_margin_exceedance_mean,feeder_margin_exceedance_ci95,power_service_loss_mean,power_service_loss_ci95,peak_risk_mean,peak_risk_ci95,service_continuity_mean,service_continuity_ci95,min_voltage_pu_mean,min_voltage_pu_ci95,voltage_violation_pu_hours_mean,voltage_violation_pu_hours_ci95,voltage_violating_bus_hours_mean,voltage_violating_bus_hours_ci95,thermal_overload_pu_hours_mean,thermal_overload_pu_hours_ci95,thermal_overloaded_branch_hours_mean,thermal_overloaded_branch_hours_ci95,losses_mwh_mean,losses_mwh_ci95,latency_ms_mean,latency_ms_ci95,mean_control_action_fraction_mean,mean_control_action_fraction_ci95,requested_restoration_mean,requested_restoration_ci95,executed_restoration_mean,executed_restoration_ci95,requested_charge_capacity_mean,requested_charge_capacity_ci95,executed_charge_capacity_mean,executed_charge_capacity_ci95,mean_smartds_projection_fraction_mean,mean_smartds_projection_fraction_ci95,smartds_curtailed_energy_kwh_mean,smartds_curtailed_energy_kwh_ci95,smartds_raw_infeasible_hours_mean,smartds_raw_infeasible_hours_ci95,smartds_projected_infeasible_hours_mean,smartds_projected_infeasible_hours_ci95,crew_job_count_mean,crew_job_count_ci95,crew_jobs_dispatched_mean,crew_jobs_dispatched_ci95,crew_jobs_completed_mean,crew_jobs_completed_ci95,crew_completion_fraction_mean,crew_completion_fraction_ci95,crew_mean_completion_h_mean,crew_mean_completion_h_ci95,crew_total_travel_h_mean,crew_total_travel_h_ci95
pc_rollout,cascade,256,1064.9975325299893,83.09110708031763,6.381533207186847,0.6990003999723879,307.18526143516647,27.91435543538561,69.26480873522814,3.652834585483508,0.0,0.0,28.437357739842938,2.871559586450831,55.750805143266916,2.9160679323593293,0.7457653887066238,0.02944753736358806,0.989079419334932,2.2634575341457782e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426645117554438,0.00016760699580048408,54.706190627257456,0.7564543978768914,0.9881037999875844,0.0006989947453062632,34.74609375,0.3187489762034212,27.1953125,0.3076384884373454,176.60250099748373,3.883694030922391e-07,170.36203826963902,0.5038120674966758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74609375,0.3187489762034212,32.7421875,0.35412462787557536,27.1953125,0.3076384884373454,0.7840844841235801,0.007475777118247204,3.376882639266379,0.07627285245468984,3.3072265625,0.0945647761695342
pc_rollout,nominal,256,604.1255911444127,65.23798108173526,1.2653603389167547,0.17221582376171451,228.67043019231642,24.67060772487008,4.274059785821009,0.5708735787888178,0.0,0.0,0.00036958864046869567,0.0001084180570063056,38.1759983968167,2.3238192637959303,0.8716867356448268,0.03381711618615445,0.9888645262811258,3.962871805241104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433823365331515,0.00020883150133722876,54.24178997175962,0.7530810883461192,1.0,0.0,18.09765625,0.684959444620159,16.80859375,0.5692055920594153,176.60250095278025,4.004134671639825e-07,176.60250095278025,4.004134671639825e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09765625,0.684959444620159,18.09765625,0.684959444620159,16.80859375,0.5692055920594153,0.9387410865843584,0.007869349644351632,2.242190304062158,0.0822683174167901,1.8446614583333334,0.0867278685139728
pc_rollout,ood,256,1645.8858276940882,92.76355865035173,12.1791460017342,1.3566388710430106,297.27076273056446,27.576013670333033,229.2041171924211,7.683422781234891,0.0,0.0,64.77076868789916,6.457959425348424,69.7265563160181,3.349453440111608,0.5988174109550906,0.029802931364209913,0.9890540716416216,2.4532332104028094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418206467231177,0.00014255020889929377,55.075220774597256,0.8065257766459785,0.956780772889033,0.0017527108996458153,35.796875,0.09985521841450172,26.59375,0.24207010358369246,176.602500975132,3.718161831076224e-07,156.5853165909648,0.9870646243804635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.796875,0.09985521841450172,31.3359375,0.21494684758935856,26.59375,0.24207010358369246,0.7430922579045058,0.006724812703080617,3.24361425820027,0.06468847572137824,3.228385416666667,0.06909796224703894
pc_rollout,single_domain,256,701.8902552536174,70.99495445844572,2.001614024260383,0.2542843247182709,262.46450862742495,26.593648708497522,6.157208595832344,0.7523746547317122,0.0,0.0,3.5562237154285086,0.9304371350200652,41.03804621816138,2.4569274065039384,0.8448295092098637,0.03526558464452657,0.9889591114276481,3.695529869063056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432549945635301,0.00020514249284994454,55.12118047075395,0.7595146322532541,0.9993476511444896,0.00013006020739922397,33.22265625,0.46550686410541636,27.265625,0.3850887960212273,176.60250075906515,4.233804017341691e-07,176.3100564032793,0.06657830835821889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22265625,0.46550686410541636,33.125,0.4680089763677448,27.265625,0.3850887960212273,0.8242613603412227,0.008998714534444816,3.498071057520058,0.08315188840475685,3.3847005208333334,0.10340777201346274
robust_pc_rollout,cascade,256,1065.6306992287282,83.10495338688288,6.390504730302026,0.6979765946420885,307.2256791557302,27.916135886431775,69.40275408548769,3.657905534096461,0.0,0.0,28.52842882423569,2.8745850199281495,55.68790018931031,2.9116974746949023,0.7456187405763346,0.029429422230647408,0.9890790614225289,2.2655569985228177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426634454488067,0.0001675392716034561,193.57509042462576,1.5449333779167254,0.9880674194234113,0.0006978885469916938,34.74609375,0.3187489762034212,27.2265625,0.30558724241986834,176.602500975132,3.825998104572617e-07,170.344149813056,0.5035407159335413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74609375,0.3187489762034212,32.7421875,0.35412462787557536,27.2265625,0.30558724241986834,0.7849525396791357,0.007359829404916503,3.370979515859306,0.0756545435113528,3.292578125,0.09340907603474256
robust_pc_rollout,nominal,256,604.1269471845515,65.23786137757587,1.2654248197637135,0.17221620657776018,228.67082960699918,24.670566143864814,4.2741920002154075,0.5708622478349346,0.0,0.0,0.00036887218327989713,0.0001083631859178074,38.176016178404154,2.3238184607646697,0.8716842595021003,0.033816980160170575,0.9888645247519406,3.962884550708987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433823136372817,0.00020883340284947894,193.5238216895717,1.6141012212858223,1.0,0.0,18.09765625,0.684959444620159,16.8125,0.5697934997461284,176.6025010868907,3.988146278871086e-07,176.6025010868907,3.988146278871086e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09765625,0.684959444620159,18.09765625,0.684959444620159,16.8125,0.5697934997461284,0.938960167272189,0.00791550677920881,2.250203380582834,0.08260986283914679,1.8413411458333333,0.08685388751969086
robust_pc_rollout,ood,256,1654.3532410878688,92.70247582043015,12.188734006667985,1.35112626343037,297.52776528330287,27.568883450311382,231.24454772332683,7.768621521852965,0.0,0.0,65.34822739201516,6.448387111447575,69.81824773550034,3.348507720932722,0.5981859923320342,0.029874607695698677,0.9890558262673261,2.4503758241749924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418084863156928,0.00014273301812215287,193.90731393286842,1.712005539561827,0.956327983061783,0.0017576563080476048,35.796875,0.09985521841450172,26.5859375,0.2406510068387924,176.60250091552734,3.701570862263263e-07,156.30629650503397,0.9977699292606517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.796875,0.09985521841450172,31.3359375,0.21494684758935856,26.5859375,0.2406510068387924,0.742875244015617,0.006687537257507865,3.2259748819222405,0.06447720321987237,3.2306640625,0.06818455073751617
robust_pc_rollout,single_domain,256,701.8777262215365,70.9993492385746,2.004197866210908,0.2556130025019813,262.4533743815264,26.59499469031937,6.15789294563001,0.7517715087832444,0.0,0.0,3.5599680521252957,0.9332251793918892,41.036202420730426,2.4570427151857004,0.8448441972436178,0.03526481140881031,0.9889592144161704,3.693009168101841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432555481199622,0.00020513649700828652,194.92032748075871,1.546232943010269,0.999343644749994,0.0001310073036124756,33.22265625,0.46550686410541636,27.28515625,0.37925639345347495,176.60250078886747,4.194671292994288e-07,176.30947678536177,0.06663143784071646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22265625,0.46550686410541636,33.125,0.4680089763677448,27.28515625,0.37925639345347495,0.8250115647442913,0.008944788061428394,3.495768722471635,0.08225330077339388,3.3599609375,0.10286987247496063
static,cascade,256,1178.2003187849186,81.3642779010832,5.955381119540032,0.6753351573169585,315.6057245780248,27.70655100333818,104.01867567407317,4.102716234497601,0.0,0.0,29.20645774286743,3.082143188718022,60.0523735396564,2.9623285789369866,0.758572081509298,0.030692394285509305,0.9891291558499445,1.6197909410021417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8422900971438803,0.00017118597065882504,0.7952191399454023,0.03937866500903116,0.9873527534073219,0.0007949713289747129,34.74609375,0.3187489762034212,26.9375,0.3226486965300635,176.60250081121922,3.44152286557439e-07,172.1572685688734,0.3262503379057306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74609375,0.3187489762034212,32.7421875,0.35412462787557536,26.9375,0.3226486965300635,0.7766810746311643,0.008093746405512652,3.455863073106434,0.08009679595824863,3.3619140625,0.09224586006057718
static,nominal,256,653.5353952957547,65.391479421403,0.6575246634743026,0.12054332868790298,245.64762621745467,24.316076905288977,8.014910431928001,1.3365856268630556,0.0,0.0,0.000393125959801385,0.00011681251450337959,41.63221703994895,2.5356432723269005,0.8934497632295769,0.03454612380074301,0.9889865436221821,2.6610280460261437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426170784469342,0.00020848075396811248,0.7415925792884082,0.03622543162783973,1.0,0.0,18.09765625,0.684959444620159,16.828125,0.5724435591131216,176.60250075906515,3.3019710321981903e-07,176.60250075906515,3.3019710321981903e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09765625,0.684959444620159,18.09765625,0.684959444620159,16.828125,0.5724435591131216,0.9394749619491328,0.007898498596587372,2.189069429160275,0.08184699964536914,1.8615234375,0.08831403990057304
