scheme,policy,comparator,n_pairs,policy_mean,comparator_mean,mean_difference,ci95_low,ci95_high,relative_reduction_percent,mobility_weight,energy_weight,communication_weight,power_service_weight,cascade_weight
reference,pc_rollout,forecast_matched,4096,985.1680479746469,991.4410420812219,-6.272994106574988,-7.037219584008587,-5.519535933342794,0.6327147899190041,1.8,2.6,1.7,1.2,12.0
mobility_x2,pc_rollout,forecast_matched,4096,994.6769201165089,1001.0590531356188,-6.38213301911,-7.18111788883986,-5.611781062484274,0.6375381151710516,3.6,2.6,1.7,1.2,12.0
energy_x2,pc_rollout,forecast_matched,4096,1680.0971618473254,1687.0218986832629,-6.924736835937371,-7.7991303131922285,-6.086705964412744,0.4104710698386426,1.8,5.2,1.7,1.2,12.0
communication_x2,pc_rollout,forecast_matched,4096,1115.4788926183724,1124.4501668741902,-8.971274255817947,-10.02429815607078,-7.931406082850424,0.7978365355893716,1.8,2.6,3.4,1.2,12.0
power_service_x2,pc_rollout,forecast_matched,4096,1013.2177277968962,1019.7552953057708,-6.5375675088746,-7.4520604096935505,-5.6625244031265645,0.6410917931947908,1.8,2.6,1.7,2.4,12.0
cascade_half,pc_rollout,forecast_matched,4096,923.9832792275809,928.9816438775885,-4.998364650007478,-5.651903710440114,-4.362136688641214,0.538047730323734,1.8,2.6,1.7,1.2,6.0
