policy,comparator,group,metric,direction,n_pairs,policy_mean,comparator_mean,mean_difference_pc_minus_comparator,mean_difference_policy_minus_comparator,mean_difference_bootstrap_ci95_low,mean_difference_bootstrap_ci95_high,relative_reduction_percent,paired_cohens_dz,paired_t_p,wilcoxon_p,primary_family,holm_p_primary_paired_t,holm_p_primary_wilcoxon
robust_pc_rollout,forecast_matched,all,cost,lower,4096,986.8510712826331,991.4410401720068,-4.589968889373548,-4.589968889373548,-5.3878433834423305,-3.8010586575569407,0.4629593393246286,-0.17531757383155935,8.492117384934653e-29,3.1089860774003984e-63,True,4.246058692467327e-28,1.5544930387001991e-62
robust_pc_rollout,forecast_matched,all,mobility_delay,lower,4096,5.2942754206785185,5.343339474664942,-0.04906405398642311,-0.04906405398642311,-0.07693844584130494,-0.02074160331693156,0.9182282768867068,-0.05372160029960506,0.0005914716463387357,3.7499502807431967e-19,False,,
robust_pc_rollout,forecast_matched,all,unserved_energy,lower,4096,267.3228601281753,267.53109869309264,-0.2082385649173375,-0.2082385649173375,-0.2551422744709271,-0.16164113829895543,0.07783714339551434,-0.13683262590086864,2.8778015836364755e-18,9.182780176634198e-75,False,,
robust_pc_rollout,forecast_matched,all,comm_loss,lower,4096,77.05548574620752,78.24066164292253,-1.185175896715009,-1.185175896715009,-1.3646689938359031,-1.007476415320844,1.5147825591301314,-0.20143679696293074,2.6327381757108667e-37,2.862396132330924e-56,False,,
robust_pc_rollout,forecast_matched,all,power_service_loss,lower,4096,23.50017266464701,23.595211020457363,-0.09503835581034843,-0.09503835581034843,-0.2522072041821291,0.06219911154375636,0.4027866321176315,-0.018529285266894745,0.23574076448978445,1.1603435749731782e-07,False,,
robust_pc_rollout,forecast_matched,all,min_voltage_pu,higher,4096,0.9889774241468333,0.9889773780571525,4.6089680824960236e-08,4.6089680824960236e-08,-5.459671136317727e-07,6.807238658937948e-07,-4.6603372177737255e-06,0.002299035809352742,0.8830301096464069,1.8217536830632664e-51,False,,
robust_pc_rollout,forecast_matched,all,voltage_violation_pu_hours,lower,4096,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,thermal_overload_pu_hours,lower,4096,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,losses_mwh,lower,4096,0.8427433469364651,0.8427349386006019,8.40833586313142e-06,8.40833586313142e-06,6.3633583362977155e-06,1.0471610002137822e-05,-0.0009977438311853817,0.1250664088878248,1.5522067529800239e-15,8.612880598846207e-84,False,,
robust_pc_rollout,forecast_matched,all,mean_smartds_projection_fraction,higher,4096,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,smartds_curtailed_energy_kwh,lower,4096,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,all,crew_completion_fraction,higher,4096,0.8221126994994341,0.8172483806856254,0.004864318813808702,0.004864318813808702,0.004221110109576453,0.0055299437361522276,-0.5952069075655815,0.2274978099316915,7.356632143453658e-47,2.1881719700013785e-43,False,,
robust_pc_rollout,forecast_matched,all,crew_mean_completion_h,lower,4096,3.093895367850788,3.1312468172202528,-0.037351449369464655,-0.037351449369464655,-0.04360555530214551,-0.03125896996052739,1.192861870998186,-0.18494585090668866,8.293039744225275e-32,2.5503373077276583e-06,False,,
robust_pc_rollout,forecast_matched,all,crew_total_travel_h,lower,4096,2.9482014973958335,2.9751993815104165,-0.026997884114583336,-0.026997884114583336,-0.03547770182291667,-0.018603515625000004,0.9074310878915733,-0.09797215134256604,3.9786253967171047e-10,5.2975189109094065e-09,False,,
robust_pc_rollout,forecast_matched,all,latency_ms,lower,4096,195.21720498416545,47.430605203411844,147.78659978075362,147.78659978075362,147.15579664856907,148.42089027035573,-311.584891541976,7.212829208291028,0.0,0.0,False,,
robust_pc_rollout,forecast_matched,nominal,cost,lower,1024,661.8178522484935,661.8337281143722,-0.015875865878611967,-0.015875865878611967,-0.02627609689245542,-0.007080740928740834,0.0023987695404771576,-0.10092313202793052,0.0012793716661361214,2.3450780384132392e-15,True,0.0025587433322722427,4.6901560768264784e-15
robust_pc_rollout,forecast_matched,nominal,mobility_delay,lower,1024,1.4592429044679882,1.4595125625241105,-0.0002696580561219596,-0.0002696580561219596,-0.0009491676038371952,0.00027026660092254097,0.018475898258498543,-0.026986632998858475,0.38802533019877716,0.003554674071974606,False,,
robust_pc_rollout,forecast_matched,nominal,unserved_energy,lower,1024,250.39225984862424,250.39745573689288,-0.0051958882686449215,-0.0051958882686449215,-0.008441897156808409,-0.0022909718973096464,0.002075056335278639,-0.10479214548981956,0.0008276698472728896,7.157340674770355e-18,False,,
robust_pc_rollout,forecast_matched,nominal,comm_loss,lower,1024,4.779344895530812,4.780527709914168,-0.001182814383355435,-0.001182814383355435,-0.0032933135404164204,9.964985838450907e-05,0.024742339238039306,-0.04064150826466456,0.19371286883965563,1.7572305698953398e-10,False,,
robust_pc_rollout,forecast_matched,nominal,power_service_loss,lower,1024,0.0003638885674249211,0.0003677091357044919,-3.820568279570827e-06,-3.820568279570827e-06,-1.8912539275870576e-05,1.0781069926157084e-05,1.0390191345806574,-0.015655223909437133,0.6165020014088975,0.7685587223563208,False,,
robust_pc_rollout,forecast_matched,nominal,min_voltage_pu,higher,1024,0.9888295169085872,0.9888295706999339,-5.379134667608896e-08,-5.379134667608896e-08,-1.7650216354537173e-07,3.592960396466684e-08,5.439900693707334e-06,-0.030671433761108723,0.32658524975483927,3.7172590986211877e-06,False,,
robust_pc_rollout,forecast_matched,nominal,voltage_violation_pu_hours,lower,1024,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,thermal_overload_pu_hours,lower,1024,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,losses_mwh,lower,1024,0.8434387037209805,0.8434384394887458,2.6423223485085284e-07,2.6423223485085284e-07,1.1796402730093855e-07,4.4032135380075774e-07,-3.1327981092611625e-05,0.10039648443103966,0.001356051558452555,3.795030948840548e-18,False,,
robust_pc_rollout,forecast_matched,nominal,mean_smartds_projection_fraction,higher,1024,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,smartds_curtailed_energy_kwh,lower,1024,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,False,,
robust_pc_rollout,forecast_matched,nominal,crew_completion_fraction,higher,1024,0.9379081882948027,0.9372985256839459,0.0006096626108567601,0.0006096626108567601,-0.0002471873674676888,0.0014823537489027645,-0.06504465697434975,0.0434180967503821,0.16501982506598045,0.2870364387932435,False,,
robust_pc_rollout,forecast_matched,nominal,crew_mean_completion_h,lower,1024,2.2716106368989513,2.1992037966800075,0.07240684021894361,0.07240684021894361,0.0651550137513554,0.07967800753120036,-3.29241156859821,0.6100618281197802,2.1628309027259203e-72,6.852383243259692e-83,False,,
robust_pc_rollout,forecast_matched,nominal,crew_total_travel_h,lower,1024,1.8217936197916667,1.8328938802083332,-0.011100260416666669,-0.011100260416666669,-0.023518880208333336,0.0013671874999999977,0.6056139166881268,-0.054962976336630914,0.07890784337941763,0.5289154347989433,False,,
robust_pc_rollout,forecast_matched,nominal,latency_ms,lower,1024,194.71037324198429,45.710696225569336,148.99967701641498,148.99967701641498,147.7228938362733,150.26245429006053,-325.96238806152456,7.1311642029836735,0.0,4.0561928102046334e-169,False,,
robust_pc_rollout,forecast_matched,single_domain,cost,lower,1024,689.0602327069686,689.3545283754347,-0.2942956684661903,-0.2942956684661903,-0.48371097145518277,-0.10665656735931704,0.04269148259020526,-0.09598094307094285,0.002186936296031319,3.530757306351782e-10,True,0.0025587433322722427,3.530757306351782e-10
robust_pc_rollout,forecast_matched,single_domain,mobility_delay,lower,1024,2.020783497464511,2.0118066068520837,0.008976890612427707,0.008976890612427707,-0.003703474627789581,0.02257966633031007,-0.4462104151489013,0.04216529136323526,0.17754259591344523,0.2295284644568295,False,,
robust_pc_rollout,forecast_matched,single_domain,unserved_energy,lower,1024,257.38150486175437,257.4890555512684,-0.10755068951402791,-0.10755068951402791,-0.1365778572340787,-0.0785940162058978,0.04176903336095914,-0.22369006084224177,1.5596008812488643e-12,2.334956770949544e-22,False,,
robust_pc_rollout,forecast_matched,single_domain,comm_loss,lower,1024,6.257017990021268,6.258327309755259,-0.0013093197339912876,-0.0013093197339912876,-0.022806751399912173,0.019765467570687156,0.020921240919284715,-0.0037581486637629944,0.9043002036641454,0.1295815087898185,False,,
