hour_index,timestamp_local,station_index,station_id,traffic_multiplier,power_threat,communication_threat,arrival_rate_pps,backup_duration_s,nominal_service_rate_pps,degraded_service_rate_pps,effective_service_rate_pps,utilization,erasure_probability,algebraic_support,effective_action_fraction,generated_packets,arrival_attempts_including_retries,delivered_packets,buffer_drops,erasures,control_generated,control_delivered,control_failed,control_delivery_fraction,control_on_time_fraction,control_latency_mean_ms,control_latency_p95_ms,control_latency_p99_ms,attempt_drop_fraction
44103,2023-01-13T08:00,20,B020,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,471,473,471,0,2,18,18,0,1.0,1.0,31.55821761918976,68.95877758651592,108.0888885652426,0.0
44103,2023-01-13T08:00,21,B021,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,482,482,482,0,0,36,36,0,1.0,1.0,33.65150691057882,92.43569160337373,141.8935320395316,0.0
44103,2023-01-13T08:00,22,B022,0.5,0.0,0.0,4.8,0.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,589,589,589,0,0,31,31,0,1.0,1.0,43.92573430329745,118.24142548772443,158.872515603619,0.0
44103,2023-01-13T08:00,23,B023,0.5,0.0,0.0,4.8,0.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,591,591,591,0,0,25,25,0,1.0,1.0,38.74143134898387,80.15037346808353,138.0933457635568,0.0
44103,2023-01-13T08:00,24,B024,0.5,0.0,0.0,4.8,0.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,553,554,553,0,1,21,21,0,1.0,1.0,47.173559080537494,147.75989013804747,159.07949874259657,0.0
44103,2023-01-13T08:00,25,B025,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,506,506,506,0,0,27,27,0,1.0,1.0,31.879051451904854,83.43800968239918,108.18397170084077,0.0
44103,2023-01-13T08:00,26,B026,0.5,0.0,0.0,5.6,0.0,30.0,30.0,30.0,0.18666666666666665,0.002,1.0,1.0,645,647,645,0,2,23,23,0,1.0,1.0,43.99389616061243,108.75034291117626,170.55512482212993,0.0
44103,2023-01-13T08:00,27,B027,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,486,487,486,0,1,26,26,0,1.0,1.0,37.52283775024728,103.8582955366607,109.76838826154278,0.0
44103,2023-01-13T08:00,28,B028,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,475,476,475,0,1,30,30,0,1.0,1.0,33.6053098524539,99.26401979681413,185.88501472767547,0.0
44103,2023-01-13T08:00,29,B029,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,483,485,483,0,2,24,24,0,1.0,1.0,47.35456416815492,114.35676253557429,129.89263109717493,0.0
44103,2023-01-13T08:00,30,B030,0.5,0.0,0.0,6.280000019073487,0.0,30.0,30.0,30.0,0.20933333396911624,0.002,1.0,1.0,783,783,783,0,0,36,36,0,1.0,1.0,41.75370581312745,96.06914185506454,156.39584415507161,0.0
44103,2023-01-13T08:00,31,B031,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,482,484,482,0,2,24,24,0,1.0,1.0,36.7030622520674,94.0891540139468,98.42808051182529,0.0
44103,2023-01-13T08:00,32,B032,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,480,482,480,0,2,22,22,0,1.0,1.0,65.45398281930464,220.06729584973993,276.04414280789223,0.0
44103,2023-01-13T08:00,33,B033,0.5,0.0,0.0,5.040000009536743,0.0,30.0,30.0,30.0,0.16800000031789145,0.002,1.0,1.0,591,591,591,0,0,30,30,0,1.0,1.0,32.11056033800652,87.32067688079282,118.36027301841841,0.0
44103,2023-01-13T08:00,34,B034,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,472,473,472,0,1,23,23,0,1.0,1.0,40.35026114546567,140.97852298849773,196.85393400128817,0.0
44103,2023-01-13T08:00,35,B035,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,503,505,503,0,2,27,27,0,1.0,1.0,36.84759810504344,81.95859413670375,133.3675055929878,0.0
44103,2023-01-13T08:00,36,B036,0.5,0.0,0.0,5.346666669845581,0.0,30.0,30.0,30.0,0.17822222232818602,0.002,1.0,1.0,617,618,617,0,1,26,26,0,1.0,1.0,40.91048131073257,80.35544427093555,162.12926549562567,0.0
44103,2023-01-13T08:00,37,B037,0.5,0.0,0.0,4.8,0.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,560,561,560,0,1,31,31,0,1.0,1.0,40.558572704363264,104.3074810799638,140.89885920607225,0.0
44103,2023-01-13T08:00,38,B038,0.5,0.0,0.0,4.8,0.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,560,562,560,0,2,35,35,0,1.0,1.0,52.01297516546011,180.36453630751882,254.90685264300095,0.0
44103,2023-01-13T08:00,39,B039,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,487,488,487,0,1,29,29,0,1.0,1.0,39.46440425913568,85.20843143873263,88.04945675075089,0.0
44103,2023-01-13T08:00,40,B040,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,527,529,527,0,2,15,15,0,1.0,1.0,48.733842008780954,74.79832773152543,79.3722771210807,0.0
44103,2023-01-13T08:00,41,B041,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,525,526,525,0,1,29,29,0,1.0,1.0,34.98928378784441,94.0722852576286,106.69023909540128,0.0
44103,2023-01-13T08:00,42,B042,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,474,477,474,0,3,23,23,0,1.0,1.0,24.498501959962528,58.754030090779686,77.73753275405541,0.0
44103,2023-01-13T08:00,43,B043,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,444,444,444,0,0,27,27,0,1.0,1.0,38.14122821631702,90.86468246178967,107.75843685844119,0.0
44103,2023-01-13T08:00,44,B044,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,469,470,469,0,1,31,31,0,1.0,1.0,29.34522317911903,80.24829297661284,83.25434610650575,0.0
44103,2023-01-13T08:00,45,B045,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,494,494,494,0,0,35,35,0,1.0,1.0,34.812920396440816,87.42658533359271,98.73579526844551,0.0
44103,2023-01-13T08:00,46,B046,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,483,483,483,0,0,22,22,0,1.0,1.0,30.834552961657376,128.79166213717335,153.47847298403758,0.0
44103,2023-01-13T08:00,47,B047,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,500,500,500,0,0,18,18,0,1.0,1.0,53.32589322085449,148.98349284894385,226.00562020434754,0.0
44103,2023-01-13T08:00,48,B048,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,467,468,467,0,1,28,28,0,1.0,1.0,41.13662895529026,115.91501813779637,140.20168184153337,0.0
44103,2023-01-13T08:00,49,B049,0.5,0.0,0.0,4.0,0.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,479,480,479,0,1,28,28,0,1.0,1.0,36.64600600230766,87.51386990618727,142.2421951482246,0.0
44103,2023-01-13T08:00,0,B000,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,518,519,518,0,1,31,31,0,1.0,1.0,37.59476776297318,95.87880955737627,131.04205151837218,0.0
44103,2023-01-13T08:00,1,B001,0.5,0.0,0.0,4.986666667461395,60.0,30.0,30.0,30.0,0.16622222224871316,0.002,1.0,1.0,628,631,628,0,3,25,25,0,1.0,1.0,35.26638862619329,72.99387018229311,73.69953614711335,0.0
44103,2023-01-13T08:00,2,B002,0.5,0.0,0.0,4.8,60.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,589,591,589,0,2,31,31,0,1.0,1.0,36.52064807678952,84.09444745567285,90.2063135545717,0.0
44103,2023-01-13T08:00,3,B003,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,470,470,470,0,0,21,21,0,1.0,1.0,39.37037621473783,127.78265988652038,143.30877702830094,0.0
44103,2023-01-13T08:00,4,B004,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,525,525,525,0,0,23,23,0,1.0,1.0,34.87384404242455,104.5153489973301,110.19396267204,0.0
44103,2023-01-13T08:00,5,B005,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,447,448,447,0,1,31,31,0,1.0,1.0,33.51791512254883,93.26306614742563,108.28654228451526,0.0
44103,2023-01-13T08:00,6,B006,0.5,0.0,0.0,4.8,60.0,30.0,30.0,30.0,0.16,0.002,1.0,1.0,584,589,584,0,5,34,34,0,1.0,1.0,40.07756078206768,124.0787570669933,168.16872735559903,0.0
44103,2023-01-13T08:00,7,B007,0.5,0.0,0.0,5.6,60.0,30.0,30.0,30.0,0.18666666666666665,0.002,1.0,1.0,695,696,695,0,1,41,41,0,1.0,1.0,41.68759983533355,132.32141928146746,170.80904666454802,0.0
44103,2023-01-13T08:00,8,B008,0.5,0.0,0.0,6.546666622161865,60.0,30.0,30.0,30.0,0.21822222073872885,0.002,1.0,1.0,772,772,772,0,0,36,36,0,1.0,1.0,31.520287511176303,86.74379495817952,97.92508885704335,0.0
44103,2023-01-13T08:00,9,B009,0.5,0.0,0.0,5.3482222080230715,60.0,30.0,30.0,30.0,0.17827407360076905,0.002,1.0,1.0,645,646,645,0,1,32,32,0,1.0,1.0,36.69196626188096,97.69646087988019,186.17542161475922,0.0
44103,2023-01-13T08:00,10,B010,0.5,0.0,0.0,4.540888881683349,60.0,30.0,30.0,30.0,0.1513629627227783,0.002,1.0,1.0,570,572,570,0,2,32,32,0,1.0,1.0,32.89663425726276,101.14160314471671,116.0638467460337,0.0
44103,2023-01-13T08:00,11,B011,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,506,507,506,0,1,22,22,0,1.0,1.0,52.21182237633962,138.40326842517888,167.38470767627027,0.0
44103,2023-01-13T08:00,12,B012,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,475,477,475,0,2,20,20,0,1.0,1.0,35.017705106438825,102.21283979189074,143.64709529641314,0.0
44103,2023-01-13T08:00,13,B013,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,473,474,473,0,1,27,27,0,1.0,1.0,43.64322723417632,89.28595329275169,104.28053988160279,0.0
44103,2023-01-13T08:00,14,B014,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,476,476,476,0,0,21,21,0,1.0,1.0,43.015372649368636,91.47222985114922,125.88310905176603,0.0
44103,2023-01-13T08:00,15,B015,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,458,459,458,0,1,25,25,0,1.0,1.0,28.042772737595687,75.31784535388222,79.72951583944564,0.0
44103,2023-01-13T08:00,16,B016,0.5,0.0,0.0,4.0,60.0,30.0,30.0,30.0,0.13333333333333333,0.002,1.0,1.0,493,494,493,0,1,21,21,0,1.0,1.0,41.39570535690643,104.15900468349548,133.39593153190495,0.0
