penetration_multiplier,metric,mapping_level_mean,mapping_level_sd,ci95_low,ci95_high,mapping_replicates,scenario_rows
1.0,feasible_fraction,1.0,0.0,1.0,1.0,20,480
1.0,unconstrained_feasible,1.0,0.0,1.0,1.0,20,480
1.0,v_min,0.9858314723506304,0.0014307058538544628,0.9852044378638054,0.9864585068374554,20,480
1.0,line_loading,0.928691603558147,0.001886140332159325,0.9278649661105758,0.9295182410057181,20,480
3.0,feasible_fraction,0.9800347646077474,0.030208739731544212,0.9667952006790984,0.9932743285363964,20,480
3.0,unconstrained_feasible,0.83125,0.1477629235598273,0.7664900434397597,0.8960099565602404,20,480
3.0,v_min,0.9765003723596536,0.0047103954523761956,0.9744359505308995,0.9785647941884077,20,480
3.0,line_loading,0.9684080823513804,0.01625766372203703,0.9612828470687702,0.9755333176339906,20,480
5.0,feasible_fraction,0.8054669698079427,0.03718936240276765,0.7891680131029399,0.8217659265129456,20,480
5.0,unconstrained_feasible,0.4458333333333333,0.038474188203193274,0.428971276893847,0.4626953897728196,20,480
5.0,v_min,0.966318853736729,0.008276691106624687,0.9626914339238656,0.9699462735495924,20,480
5.0,line_loading,1.0440063805360262,0.04840669274821155,1.0227912120480407,1.0652215490240118,20,480
10.0,feasible_fraction,0.5732941309611003,0.029546392347722848,0.5603448535723402,0.5862434083498603,20,480
10.0,unconstrained_feasible,0.2541666666666667,0.040329418397791125,0.23649151974469035,0.27184181358864307,20,480
10.0,v_min,0.9380956021331673,0.01919507494895454,0.9296829896190305,0.9465082146473042,20,480
10.0,line_loading,1.361176769064629,0.14345076041399435,1.2983067013295224,1.4240468367997356,20,480
