penetration_multiplier,metric,mapping_level_mean,mapping_level_sd,ci95_low,ci95_high,mapping_replicates,scenario_rows
1.0,feasible_fraction,1.0,0.0,1.0,1.0,1,7451
1.0,unconstrained_feasible,1.0,0.0,1.0,1.0,1,7451
1.0,v_min,0.9878391657210344,0.0,0.9878391657210344,0.9878391657210344,1,7451
1.0,line_loading,0.9190639214880074,0.0,0.9190639214880074,0.9190639214880074,1,7451
3.0,feasible_fraction,0.9993972993348208,0.0,0.9993972993348208,0.9993972993348208,1,7451
3.0,unconstrained_feasible,0.9916789692658704,0.0,0.9916789692658704,0.9916789692658704,1,7451
3.0,v_min,0.9839643175825341,0.0,0.9839643175825341,0.9839643175825341,1,7451
3.0,line_loading,0.9330933096786347,0.0,0.9330933096786347,0.9330933096786347,1,7451
