mapping_seed,hour_index,timestamp_local,sample_type,penetration_multiplier,requested_ev_kw,feasible_fraction,feasible_ev_kw,unconstrained_feasible,unconstrained_converged,unconstrained_v_min_pu,unconstrained_v_max_pu,unconstrained_nodes_below_0_95,unconstrained_nodes_above_1_05,unconstrained_deenergized_nodes,unconstrained_max_line_loading_pu,unconstrained_limiting_line,unconstrained_losses_kw,unconstrained_source_kw,projected_converged,projected_v_min_pu,projected_v_max_pu,projected_nodes_below_0_95,projected_nodes_above_1_05,projected_deenergized_nodes,projected_max_line_loading_pu,projected_limiting_line,projected_losses_kw,projected_source_kw
0,43807,2023-01-01T00:00,lower_activity_half,1.0,13.892502784729004,1.0,13.892502784729004,True,True,0.9879193621765994,1.0299995267315099,0,0,18,0.9148133524794082,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,140.85562265546656,6176.663293902239,True,0.9879193621765994,1.0299995267315099,0,0,18,0.9148133524794082,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,140.85562265546656,6176.663293902239
0,43807,2023-01-01T00:00,lower_activity_half,3.0,41.67750835418701,1.0,41.67750835418701,True,True,0.9820735066281994,1.0299995243118352,0,0,18,0.919549413142019,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,142.90132335883908,6206.556946791941,True,0.9820735066281994,1.0299995243118352,0,0,18,0.919549413142019,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,142.90132335883908,6206.556946791941
0,43808,2023-01-01T01:00,lower_activity_half,1.0,7.301281929016113,1.0,7.301281929016113,True,True,0.9892670068787527,1.0299995272903446,0,0,18,0.9137142783426738,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,140.4165751852148,6169.71918168141,True,0.9892670068787527,1.0299995272903446,0,0,18,0.9137142783426738,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,140.4165751852148,6169.71918168141
0,43808,2023-01-01T01:00,lower_activity_half,3.0,21.90384578704834,1.0,21.90384578704834,True,True,0.9862421800532467,1.0299995260341757,0,0,18,0.9161812753130265,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.41895617982266,6185.30790201857,True,0.9862421800532467,1.0299995260341757,0,0,18,0.9161812753130265,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.41895617982266,6185.30790201857
0,43814,2023-01-01T07:00,lower_activity_half,1.0,8.369277358055115,1.0,8.369277358055115,True,True,0.9892554889012075,1.0299995272283857,0,0,18,0.913856354146247,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,140.3027285799249,6170.667391551209,True,0.9892554889012075,1.0299995272283857,0,0,18,0.913856354146247,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,140.3027285799249,6170.667391551209
0,43814,2023-01-01T07:00,lower_activity_half,3.0,25.107832074165344,1.0,25.107832074165344,True,True,0.9891715104053035,1.0299995258594163,0,0,18,0.9165921554894982,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.02095163488534,6188.069155581619,True,0.9891715104053035,1.0299995258594163,0,0,18,0.9165921554894982,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.02095163488534,6188.069155581619
0,43815,2023-01-01T08:00,lower_activity_half,1.0,27.78128719329834,1.0,27.78128719329834,True,True,0.9891652394468052,1.029999525643752,0,0,18,0.9170291455909291,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.09954278078106,6190.86672323469,True,0.9891652394468052,1.029999525643752,0,0,18,0.9170291455909291,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.09954278078106,6190.86672323469
0,43815,2023-01-01T08:00,lower_activity_half,3.0,83.34386157989502,1.0,83.34386157989502,True,True,0.9889013046972266,1.0299995211094093,0,0,18,0.9261013674276095,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,143.42554238708308,6248.598557731651,True,0.9889013046972266,1.0299995211094093,0,0,18,0.9261013674276095,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,143.42554238708308,6248.598557731651
0,43816,2023-01-01T09:00,lower_activity_half,1.0,39.092715322971344,1.0,39.092715322971344,True,True,0.9891192843222727,1.029999524687805,0,0,18,0.9175847098661819,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.63914457644816,6202.839765670063,True,0.9891192843222727,1.029999524687805,0,0,18,0.9175847098661819,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,141.63914457644816,6202.839765670063
0,43816,2023-01-01T09:00,lower_activity_half,3.0,117.27814596891403,1.0,117.27814596891403,True,True,0.9887670210196124,1.029999518273705,0,0,18,0.9276996130047641,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,145.04974013685828,6284.07061153548,True,0.9887670210196124,1.029999518273705,0,0,18,0.9276996130047641,recloser_disswitch(r:p1udt228-p1udt62)p1u_12237,145.04974013685828,6284.07061153548
